split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_biased,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
3.8507498493701107,3.8798348376330085,3.8150291758047037,3.848537954269274,0.026502991167086272,726,9.776787281036377,0.04770120542493969,0.2066516081492106,0.023687072673283207,"{'n_factors': 230, 'n_epochs': 200, 'biased': False, 'lr_all': 6.309573444801943e-05, 'reg_all': 0.03981071705535002, 'reg_bu': 0, 'reg_bi': 0}",230,200,False,6.309573444801943e-05,0.03981071705535002,0,0
0.7932675358265752,0.8316156354260336,0.8107000555955899,0.8118610756160661,0.01567705672500327,74,2.8502007325490317,0.02071999258246,0.23958396911621094,0.05018844717826153,"{'n_factors': 30, 'n_epochs': 200, 'biased': False, 'lr_all': 0.10000000000000082, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",30,200,False,0.10000000000000082,0.10000000000000082,0,0
7.366114798799739,7.387563246503614,7.454787071689632,7.402821705664327,0.03777396305070719,822,14.049668788909912,0.06859284293515489,0.14302810033162436,0.0020157878016650696,"{'n_factors': 355, 'n_epochs': 200, 'biased': False, 'lr_all': 0.10000000000000082, 'reg_all': 0.01584893192461124, 'reg_bu': 0, 'reg_bi': 0}",355,200,False,0.10000000000000082,0.01584893192461124,0,0
3.185412920669849,3.3404281286927806,3.1700219112013204,3.2319543201879832,0.07695949645437593,669,13.361063718795776,0.6584184984588306,0.1491374969482422,0.007609065778124322,"{'n_factors': 355, 'n_epochs': 200, 'biased': False, 'lr_all': 0.00015848931924611174, 'reg_all': 1e-05, 'reg_bu': 0, 'reg_bi': 0}",355,200,False,0.00015848931924611174,1e-05,0,0
1.2741995156920694,1.4228627227219737,1.3351717444679816,1.3440779942940082,0.06101736499050494,381,5.432840665181478,0.1733133299002727,0.16623902320861816,0.0018107224890178146,"{'n_factors': 105, 'n_epochs': 200, 'biased': False, 'lr_all': 0.0010000000000000041, 'reg_all': 6.309573444801943e-05, 'reg_bu': 0, 'reg_bi': 0}",105,200,False,0.0010000000000000041,6.309573444801943e-05,0,0
0.7110833450016775,0.7169803659780426,0.7311504127814777,0.7197380412537325,0.00842121851889177,1,4.99810004234314,0.14061139857305394,0.19092337290445963,0.02863678136967195,"{'n_factors': 105, 'n_epochs': 200, 'biased': True, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",105,200,True,0.03981071705535002,0.10000000000000082,0,0
1.2206192628283326,1.2363484840147656,1.2467367421501547,1.234568162997751,0.010736474862951071,312,5.590610027313232,0.018982674616587425,0.14325388272603354,0.0051897504983686405,"{'n_factors': 155, 'n_epochs': 200, 'biased': True, 'lr_all': 0.00039810717055349854, 'reg_all': 0.6309573444801995, 'reg_bu': 0, 'reg_bi': 0}",155,200,True,0.00039810717055349854,0.6309573444801995,0,0
7.385261253538315,7.410932744554549,7.4722902869036245,7.42282809499883,0.03651152953766094,999,3.254666487375895,0.03030150563285698,0.142987330754598,0.006763034275088056,"{'n_factors': 80, 'n_epochs': 200, 'biased': True, 'lr_all': 0.6309573444801995, 'reg_all': 0.00015848931924611174, 'reg_bu': 0, 'reg_bi': 0}",80,200,True,0.6309573444801995,0.00015848931924611174,0,0
1.333862483537086,1.3507479870348396,1.3597065955868357,1.3481056887195872,0.01071496888158784,384,12.753886699676514,0.03466758525012086,0.15870269139607748,0.007845990096862699,"{'n_factors': 480, 'n_epochs': 200, 'biased': True, 'lr_all': 0.0063095734448019684, 'reg_all': 0.00039810717055349854, 'reg_bu': 0, 'reg_bi': 0}",480,200,True,0.0063095734448019684,0.00039810717055349854,0,0
1.984849449937131,2.03249173931859,2.023480274897566,2.0136071547177625,0.020664878593728557,518,7.155603965123494,0.000708666472867431,0.16256395975748697,0.009514999208779682,"{'n_factors': 230, 'n_epochs': 200, 'biased': True, 'lr_all': 6.309573444801943e-05, 'reg_all': 0.01584893192461124, 'reg_bu': 0, 'reg_bi': 0}",230,200,True,6.309573444801943e-05,0.01584893192461124,0,0
0.7839913286333469,0.7980081748396015,0.7951814866251992,0.7923936633660492,0.006052380428979554,65,1.3854584693908691,0.0274685456955567,0.1165173848470052,0.004304757781175696,"{'n_factors': 5, 'n_epochs': 200, 'biased': False, 'lr_all': 0.0025118864315095924, 'reg_all': 2.5118864315095822e-05, 'reg_bu': 0, 'reg_bi': 0}",5,200,False,0.0025118864315095924,2.5118864315095822e-05,0,0
0.9350799414563467,0.9301527966364727,0.9558305712641281,0.9403544364523158,0.011126612259325049,153,7.066471894582112,0.2308289594268537,0.1560676097869873,0.0067502344603692765,"{'n_factors': 230, 'n_epochs': 200, 'biased': True, 'lr_all': 0.2511886431509603, 'reg_all': 0.6309573444801995, 'reg_bu': 0, 'reg_bi': 0}",230,200,True,0.2511886431509603,0.6309573444801995,0,0
0.7119965247610707,0.7165831700904858,0.7345510757743373,0.7210435902086312,0.00973305205901621,4,3.945486307144165,0.05106506003407326,0.14195521672566733,0.008742488406084263,"{'n_factors': 105, 'n_epochs': 200, 'biased': True, 'lr_all': 0.10000000000000082, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",105,200,True,0.10000000000000082,0.10000000000000082,0,0
