split0_test_rmse,split1_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.7940970171491153,0.7902140470814181,0.7921555321152667,0.0019414850338486112,40,6.428965926170349,0.009554028511047363,0.12852013111114502,0.006971001625061035,"{'n_factors': 52, 'cache_ratings': 'True', 'n_epochs': 650, 'lr_all': 0.03162277660168379, 'reg_all': 0.05623413251903491, 'reg_bu': 0, 'reg_bi': 0}",52,True,650,0.03162277660168379,0.05623413251903491,0,0
1.8132483698362452,1.797708119299913,1.805478244568079,0.007770125268166117,698,1.2628870010375977,0.04460501670837402,0.14008498191833496,0.008196830749511719,"{'n_factors': 11, 'cache_ratings': 'True', 'n_epochs': 400, 'lr_all': 5.623413251903491e-05, 'reg_all': 0.005623413251903491, 'reg_bu': 0, 'reg_bi': 0}",11,True,400,5.623413251903491e-05,0.005623413251903491,0,0
1.089761960422877,1.090936350262948,1.0903491553429125,0.0005871949200355608,504,12.452301383018494,0.3161865472793579,0.13827478885650635,0.006358981132507324,"{'n_factors': 138, 'cache_ratings': 'True', 'n_epochs': 500, 'lr_all': 0.00031622776601683794, 'reg_all': 0.5623413251903491, 'reg_bu': 0, 'reg_bi': 0}",138,True,500,0.00031622776601683794,0.5623413251903491,0,0
1.1472109025735138,1.1423710619249274,1.1447909822492206,0.0024199203242931677,565,3.7915819883346558,0.05218207836151123,0.12380409240722656,0.0012478828430175781,"{'n_factors': 84, 'cache_ratings': 'True', 'n_epochs': 250, 'lr_all': 0.00031622776601683794, 'reg_all': 0.00017782794100389227, 'reg_bu': 0, 'reg_bi': 0}",84,True,250,0.00031622776601683794,0.00017782794100389227,0,0
1.0916648715320103,1.0813192657560082,1.0864920686440094,0.005172802888001038,496,7.659947037696838,0.08190000057220459,0.1780710220336914,0.016638994216918945,"{'n_factors': 75, 'cache_ratings': 'True', 'n_epochs': 550, 'lr_all': 0.00017782794100389227, 'reg_all': 0.01, 'reg_bu': 0, 'reg_bi': 0}",75,True,550,0.00017782794100389227,0.01,0,0
0.9091444881609834,0.9095983903808648,0.909371439270924,0.00022695110994069845,249,22.452260613441467,0.15533959865570068,0.16421008110046387,0.00843501091003418,"{'n_factors': 150, 'cache_ratings': 'True', 'n_epochs': 850, 'lr_all': 0.001, 'reg_all': 0.05623413251903491, 'reg_bu': 0, 'reg_bi': 0}",150,True,850,0.001,0.05623413251903491,0,0
1.154313906391562,1.1502036107132914,1.1522587585524267,0.002055147839135296,574,2.5180985927581787,0.030384540557861328,0.12773001194000244,0.008095145225524902,"{'n_factors': 96, 'cache_ratings': 'True', 'n_epochs': 150, 'lr_all': 0.0005623413251903491, 'reg_all': 0.00017782794100389227, 'reg_bu': 0, 'reg_bi': 0}",96,True,150,0.0005623413251903491,0.00017782794100389227,0,0
1.5101421519929195,1.4828742433774555,1.4965081976851875,0.013633954307731955,647,1.0877662897109985,0.013661503791809082,0.13758063316345215,0.001039266586303711,"{'n_factors': 60, 'cache_ratings': 'True', 'n_epochs': 100, 'lr_all': 0.00031622776601683794, 'reg_all': 0.0005623413251903491, 'reg_bu': 0, 'reg_bi': 0}",60,True,100,0.00031622776601683794,0.0005623413251903491,0,0
0.9686316597673715,0.9631488285048613,0.9658902441361163,0.0027414156312551285,340,4.639090061187744,0.21237897872924805,0.1367638111114502,0.007647037506103516,"{'n_factors': 25, 'cache_ratings': 'True', 'n_epochs': 850, 'lr_all': 0.0017782794100389228, 'reg_all': 1.778279410038923e-05, 'reg_bu': 0, 'reg_bi': 0}",25,True,850,0.0017782794100389228,1.778279410038923e-05,0,0
0.8212594351163185,0.8106706147618453,0.815965024939082,0.005294410177236586,100,2.6559438705444336,0.05996513366699219,0.19102251529693604,0.001198410987854004,"{'n_factors': 37, 'cache_ratings': 'True', 'n_epochs': 350, 'lr_all': 0.01, 'reg_all': 0.03162277660168379, 'reg_bu': 0, 'reg_bi': 0}",37,True,350,0.01,0.03162277660168379,0,0
0.9820245384347559,0.9902863136522382,0.986155426043497,0.004130887608741141,384,4.170405983924866,0.04127395153045654,0.12043046951293945,0.010296344757080078,"{'n_factors': 46, 'cache_ratings': 'True', 'n_epochs': 450, 'lr_all': 0.005623413251903491, 'reg_all': 3.1622776601683795e-05, 'reg_bu': 0, 'reg_bi': 0}",46,True,450,0.005623413251903491,3.1622776601683795e-05,0,0
7.428605192914435,7.416464529065652,7.4225348609900434,0.006070331924391326,932,5.53143048286438,0.05829668045043945,0.12320947647094727,0.013500452041625977,"{'n_factors': 49, 'cache_ratings': 'True', 'n_epochs': 600, 'lr_all': 0.1778279410038923, 'reg_all': 0.00017782794100389227, 'reg_bu': 0, 'reg_bi': 0}",49,True,600,0.1778279410038923,0.00017782794100389227,0,0
1.101162361648724,1.1155750842783805,1.1083687229635522,0.0072063613148282135,522,2.4926048517227173,0.08094799518585205,0.13815748691558838,0.0029145479202270508,"{'n_factors': 140, 'cache_ratings': 'True', 'n_epochs': 100, 'lr_all': 0.0017782794100389228, 'reg_all': 0.01, 'reg_bu': 0, 'reg_bi': 0}",140,True,100,0.0017782794100389228,0.01,0,0
