split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.6664027820270155,0.6971638423350023,0.7088249604733589,0.6951299802736011,0.6918803912772444,0.015610106358335806,411,3.282085418701172,0.11880649415673969,0.07602667808532715,0.004412484479536768,"{'cache_ratings': True, 'lr_all': 0.016722461190938363, 'n_epochs': 200, 'n_factors': 48, 'reg_all': 0.14981448495185323, 'reg_bi': 0, 'reg_bu': 0}",True,0.016722461190938363,200,48,0.14981448495185323,0,0
0.6642512078494924,0.6986905633712486,0.7104089254984561,0.6945668638705963,0.6919793901474484,0.017031109279129146,448,1.7624669671058655,0.10041066239699188,0.07400476932525635,0.0037882518693554716,"{'cache_ratings': True, 'lr_all': 0.016330863744537096, 'n_epochs': 200, 'n_factors': 20, 'reg_all': 0.15676496792658817, 'reg_bi': 0, 'reg_bu': 0}",True,0.016330863744537096,200,20,0.15676496792658817,0,0
0.6653359196174534,0.7000816903309472,0.7083932848247947,0.6936414261769187,0.6918630802375284,0.01618367989988625,396,2.1443982124328613,0.014668226939615015,0.06899416446685791,0.005623201523674316,"{'cache_ratings': True, 'lr_all': 0.015805045123125652, 'n_epochs': 200, 'n_factors': 28, 'reg_all': 0.14239221583298894, 'reg_bi': 0, 'reg_bu': 0}",True,0.015805045123125652,200,28,0.14239221583298894,0,0
0.6667562794967682,0.6967267832009219,0.7076857491275792,0.6898670314478383,0.690258960818277,0.014983785528718077,22,2.312334895133972,0.0656985593640597,0.06785130500793457,0.00926341376473625,"{'cache_ratings': True, 'lr_all': 0.012183220853347698, 'n_epochs': 200, 'n_factors': 29, 'reg_all': 0.14847368513933706, 'reg_bi': 0, 'reg_bu': 0}",True,0.012183220853347698,200,29,0.14847368513933706,0,0
0.6666787257484673,0.699614859775207,0.7095395001377748,0.6933477371473518,0.6922952057022002,0.015876514841049853,539,2.2274054884910583,0.03947054586179472,0.0737001895904541,0.0076033032182716365,"{'cache_ratings': True, 'lr_all': 0.014683840511073198, 'n_epochs': 200, 'n_factors': 29, 'reg_all': 0.1429821895242181, 'reg_bi': 0, 'reg_bu': 0}",True,0.014683840511073198,200,29,0.1429821895242181,0,0
0.6678582781734069,0.6972813981555023,0.7104218337665568,0.6919445268576959,0.6918765092382905,0.015411212930434782,407,1.666154146194458,0.006800526825322535,0.06532788276672363,0.002276470377702891,"{'cache_ratings': True, 'lr_all': 0.014794960392221179, 'n_epochs': 200, 'n_factors': 20, 'reg_all': 0.12395463429497577, 'reg_bi': 0, 'reg_bu': 0}",True,0.014794960392221179,200,20,0.12395463429497577,0,0
0.6680663648006927,0.6988813995453823,0.7103141012787664,0.6903172496419422,0.6918947788166958,0.015478745281704048,417,1.519866406917572,0.06289518428348967,0.07326602935791016,0.01075940083076595,"{'cache_ratings': True, 'lr_all': 0.011994033126885115, 'n_epochs': 200, 'n_factors': 18, 'reg_all': 0.15463554506822091, 'reg_bi': 0, 'reg_bu': 0}",True,0.011994033126885115,200,18,0.15463554506822091,0,0
0.666131365915471,0.6985027963171828,0.7108256667588495,0.6968608287155793,0.6930801644267707,0.016468446749041278,697,2.986075282096863,0.013452360431067428,0.07062482833862305,0.0022558818037667822,"{'cache_ratings': True, 'lr_all': 0.019105304513738472, 'n_epochs': 200, 'n_factors': 42, 'reg_all': 0.16801756171788296, 'reg_bi': 0, 'reg_bu': 0}",True,0.019105304513738472,200,42,0.16801756171788296,0,0
0.6683453190262757,0.6986002493321368,0.7104463608389004,0.6943178864124305,0.6929274539024359,0.015372925598843597,679,1.4477635025978088,0.050157754666983335,0.08372795581817627,0.009338419819678478,"{'cache_ratings': True, 'lr_all': 0.01859067106776045, 'n_epochs': 200, 'n_factors': 17, 'reg_all': 0.14668652062997134, 'reg_bi': 0, 'reg_bu': 0}",True,0.01859067106776045,200,17,0.14668652062997134,0,0
0.6663579681119033,0.6979852623378822,0.7102329572309968,0.6917786733320672,0.6915887152532123,0.01600898387556948,302,2.8076752424240112,0.04855656651307034,0.07165402173995972,0.005584079635057319,"{'cache_ratings': True, 'lr_all': 0.014889840625499716, 'n_epochs': 200, 'n_factors': 40, 'reg_all': 0.14150315850584483, 'reg_bi': 0, 'reg_bu': 0}",True,0.014889840625499716,200,40,0.14150315850584483,0,0
0.6692383947968397,0.6970822097167299,0.7109038039648163,0.6935625557995808,0.6926967410694915,0.015014768725530732,639,2.4644137620925903,0.1220580194177388,0.07083827257156372,0.0062339892287224825,"{'cache_ratings': True, 'lr_all': 0.012451263782843494, 'n_epochs': 200, 'n_factors': 31, 'reg_all': 0.14448058014990503, 'reg_bi': 0, 'reg_bu': 0}",True,0.012451263782843494,200,31,0.14448058014990503,0,0
0.6662789589598324,0.6999546033547109,0.7079498150870356,0.6913611197020647,0.691386124275911,0.015637655374511717,240,2.314868748188019,0.1391150941518019,0.07204568386077881,0.002417450079552481,"{'cache_ratings': True, 'lr_all': 0.012913086583791231, 'n_epochs': 200, 'n_factors': 32, 'reg_all': 0.13144186572219288, 'reg_bi': 0, 'reg_bu': 0}",True,0.012913086583791231,200,32,0.13144186572219288,0,0
