split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.877037694144269,0.8662315262901571,0.8350350873383655,0.846007432683381,0.8560779351140431,0.016481985424191985,447,5.208491086959839,0.10180702730794693,0.12276440858840942,0.032404388653058856,"{'lr_all': 0.005405843839980662, 'n_epochs': 200, 'n_factors': 209, 'reg_all': 0.034882542457075845, 'reg_bi': 0, 'reg_bu': 0}",0.005405843839980662,200,209,0.034882542457075845,0,0
0.8812490147859087,0.8296219469572,0.8162021717422128,0.8159602672130831,0.8357583501746011,0.02683963587241619,436,2.302892565727234,0.013227729240424759,0.09396994113922119,0.013861901597691483,"{'lr_all': 0.0012004616437479854, 'n_epochs': 200, 'n_factors': 56, 'reg_all': 0.07468647440767355, 'reg_bi': 0, 'reg_bu': 0}",0.0012004616437479854,200,56,0.07468647440767355,0,0
0.7016411916727461,0.7045549697576948,0.6905665502436412,0.6949819470439832,0.6979361646795164,0.005490319308907186,103,3.6011359095573425,0.033997171186480185,0.08387726545333862,0.0037299907608005613,"{'lr_all': 0.04565703927073628, 'n_epochs': 200, 'n_factors': 109, 'reg_all': 0.2063086728500342, 'reg_bi': 0, 'reg_bu': 0}",0.04565703927073628,200,109,0.2063086728500342,0,0
0.6949588676309577,0.6984617727855528,0.6856916677345518,0.6901283641002135,0.692310168062819,0.0048327700440206275,18,2.262046158313751,0.024441638823651978,0.08567911386489868,0.004486039566958185,"{'lr_all': 0.04017367644701153, 'n_epochs': 200, 'n_factors': 49, 'reg_all': 0.15812468328229376, 'reg_bi': 0, 'reg_bu': 0}",0.04017367644701153,200,49,0.15812468328229376,0,0
0.7202557022786983,0.7198445955006431,0.7037374741398661,0.706545231396883,0.7125957508290226,0.007521609810822113,231,4.963121473789215,0.006397016316460278,0.0894818902015686,0.012309461208743103,"{'lr_all': 0.046872254810296, 'n_epochs': 200, 'n_factors': 160, 'reg_all': 0.27951196331518735, 'reg_bi': 0, 'reg_bu': 0}",0.046872254810296,200,160,0.27951196331518735,0,0
0.6938528423994302,0.698340979153294,0.6857829408347033,0.6894026513993156,0.6918448534466858,0.0047154746363937605,7,3.478883385658264,0.010227694536385855,0.0823826789855957,0.004269950608313053,"{'lr_all': 0.04717608483042568, 'n_epochs': 200, 'n_factors': 78, 'reg_all': 0.12745246985533826, 'reg_bi': 0, 'reg_bu': 0}",0.04717608483042568,200,78,0.12745246985533826,0,0
0.7844804384662247,0.7803864777755722,0.7520858727816571,0.7673922430884733,0.7710862580279819,0.012654629023086249,372,4.979029357433319,0.0444003533608855,0.09762752056121826,0.006878015127127849,"{'lr_all': 0.025420044199563563, 'n_epochs': 200, 'n_factors': 190, 'reg_all': 0.0167086924118051, 'reg_bi': 0, 'reg_bu': 0}",0.025420044199563563,200,190,0.0167086924118051,0,0
0.7561501053719183,0.7414623779786081,0.7272610819388263,0.7319210804362987,0.7391986614314129,0.011044736909003467,321,3.484366297721863,0.011535219779356665,0.10114449262619019,0.013602445019860469,"{'lr_all': 0.0032316773431375623, 'n_epochs': 200, 'n_factors': 116, 'reg_all': 0.20613450194522726, 'reg_bi': 0, 'reg_bu': 0}",0.0032316773431375623,200,116,0.20613450194522726,0,0
1.0004940771772663,0.9766651864716033,0.9355811629310097,0.9591168425976537,0.9679643172943833,0.023774129308496653,478,4.25687050819397,0.05925687964784962,0.0884522795677185,0.0020993361565548787,"{'lr_all': 0.020841748104430735, 'n_epochs': 200, 'n_factors': 153, 'reg_all': 0.0011138327989156298, 'reg_bi': 0, 'reg_bu': 0}",0.020841748104430735,200,153,0.0011138327989156298,0,0
0.7003851698788405,0.7031999291044837,0.6909334789845224,0.6957973159549686,0.6975789734807039,0.004658507834790133,96,3.548229694366455,0.030316603816835375,0.09557795524597168,0.0035939166396208332,"{'lr_all': 0.0633808741113171, 'n_epochs': 200, 'n_factors': 119, 'reg_all': 0.0567155910150793, 'reg_bi': 0, 'reg_bu': 0}",0.0633808741113171,200,119,0.0567155910150793,0,0
0.9117702745808915,0.8823979259009505,0.8836063939446936,0.8936150374023739,0.8928474079572275,0.01176065635334969,465,1.6766730546951294,0.05622360180371357,0.14897602796554565,0.021567692433604162,"{'lr_all': 0.008309607044793665, 'n_epochs': 200, 'n_factors': 16, 'reg_all': 0.0025768927823185033, 'reg_bi': 0, 'reg_bu': 0}",0.008309607044793665,200,16,0.0025768927823185033,0,0
0.7797537028155793,0.7725918306695497,0.7547819800992422,0.7814518973617787,0.7721448527365375,0.010561543621472921,373,1.6146050095558167,0.009639594003117584,0.08838552236557007,0.006480731904563608,"{'lr_all': 0.004309644573368132, 'n_epochs': 200, 'n_factors': 8, 'reg_all': 0.027945635327722172, 'reg_bi': 0, 'reg_bu': 0}",0.004309644573368132,200,8,0.027945635327722172,0,0
0.705286541193123,0.7122647719075677,0.6949602236546826,0.6970268219856098,0.7023845896852458,0.006889597393523783,156,2.5993629097938538,0.03661604629247016,0.08530372381210327,0.0009568078205732354,"{'lr_all': 0.10808310529682785, 'n_epochs': 200, 'n_factors': 70, 'reg_all': 0.15711166722128103, 'reg_bi': 0, 'reg_bu': 0}",0.10808310529682785,200,70,0.15711166722128103,0,0
