split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_reg_bu,param_reg_bi,param_lr_bu,param_lr_bi,param_reg_pu,param_reg_qi,param_lr_pu,param_lr_qi,param_lr_yj,param_reg_yj
0.6660254227853936,0.6732383301989315,0.673363082856687,0.6589506890302378,0.6678943812178124,0.005957078224600265,346,1.6773366928100586,0.10465199897473074,0.06932085752487183,0.009321174351371675,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.027, 'reg_yj': 0.002}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.027,0.002
0.66444715638903,0.6715860053031619,0.6715677695061525,0.6572692365933782,0.6662175419479306,0.005929834893711067,4,1.6643187403678894,0.06663936980821276,0.07225269079208374,0.008357526997921574,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.005, 'reg_yj': 0.008}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.005,0.008
0.6667914160209877,0.6741535211483461,0.6745198500332363,0.66247028722018,0.6694837686056876,0.005089361171595349,494,1.6016332507133484,0.023363022059093578,0.06854450702667236,0.008027300666569264,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.045, 'reg_yj': 0.001}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.045,0.001
0.6659494826338799,0.6721254265021991,0.6760170618021835,0.659332408759812,0.6683560949245186,0.006326866696077679,425,1.6836110949516296,0.090676061461416,0.07693654298782349,0.005552156095318799,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.038, 'reg_yj': 0.043000000000000003}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.038,0.043000000000000003
0.6668956222348271,0.6714036157615276,0.674006281831546,0.6612052973889504,0.6683777043042127,0.004859964334931063,429,1.6014308333396912,0.019487936784771672,0.07316023111343384,0.006567000166380106,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.045, 'reg_yj': 0.015}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.045,0.015
0.6658306072977385,0.6719814535172655,0.6732230434945127,0.6585756609820214,0.6674026913228845,0.0058144104485129645,264,1.6180899739265442,0.010752735664281072,0.0692986249923706,0.00879681599218704,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.019, 'reg_yj': 0.047}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.019,0.047
0.6661004465212105,0.671246737054082,0.6736800805474555,0.6599318673978168,0.6677397828801412,0.005273443652663164,323,1.6457073092460632,0.07230894878288423,0.08703804016113281,0.007920213379940175,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.036000000000000004, 'reg_yj': 0.028}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.036000000000000004,0.028
0.6656718974225387,0.6717083261847419,0.6730481561924151,0.6595108164806902,0.6674847990700965,0.005377270089889242,282,1.6186400055885315,0.026853494473793614,0.08083325624465942,0.004969021870540672,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.031, 'reg_yj': 0.018000000000000002}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.031,0.018000000000000002
0.6669078377290277,0.67211165769509,0.6737815226040252,0.6602677211445773,0.66826718479318,0.005268470757529467,409,1.7757548689842224,0.07446809237558549,0.07155311107635498,0.0010226534459651146,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.041, 'reg_yj': 0.023}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.041,0.023
0.6657642985547101,0.6718956312586161,0.6733657713588804,0.6571458193972527,0.6670428801423648,0.006385818839446062,177,1.6110234260559082,0.010083438324533017,0.06730693578720093,0.0023441357762370016,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.006, 'reg_yj': 0.034}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.006,0.034
0.6663203736172902,0.6717477412193021,0.6740047161419461,0.660482361455898,0.6681387981086092,0.005228794186943425,386,1.6324170231819153,0.05080984513880588,0.0725051760673523,0.012428604321079697,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.042, 'reg_yj': 0.031}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.042,0.031
0.6660650407603445,0.6726190438900528,0.6741672434795031,0.6607010686097514,0.6683880991849129,0.005380205418547494,431,1.6728501915931702,0.05112111253547113,0.07458055019378662,0.0056514749155730185,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.047, 'reg_yj': 0.044}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.047,0.044
0.6655246938261802,0.6712481899624755,0.6727774771913363,0.6596495348542767,0.6672999739585672,0.005178616835493307,234,1.644835114479065,0.009190068833362375,0.07525157928466797,0.00386909420230558,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.029, 'reg_yj': 0.045}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.029,0.045
0.6652769873198734,0.6720711055870019,0.6735390977409624,0.6589830456791309,0.6674675590817422,0.005806069979760024,278,1.7244437336921692,0.07371931121283135,0.07861244678497314,0.010817264149387749,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.026000000000000002, 'reg_yj': 0.014}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.026000000000000002,0.014
0.6661521728161189,0.673021232109423,0.674056847434462,0.660454460024868,0.668421178096218,0.00551221932627685,434,1.6584932208061218,0.025675555154016337,0.08815449476242065,0.006550021168354927,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.047, 'reg_yj': 0.043000000000000003}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.047,0.043000000000000003
0.665445388314596,0.6720001180385065,0.6722893837225243,0.6567608338012416,0.666623930969217,0.006318037488762591,47,1.6324709057807922,0.05722669503691613,0.08560526371002197,0.006366344235233047,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.002, 'reg_yj': 0.004}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.002,0.004
0.6658337014572528,0.6716104034154637,0.6730614426985985,0.660508138590848,0.6677534215405407,0.004980734082872729,324,1.6045851707458496,0.016521468123789507,0.08047842979431152,0.00670636738223329,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.034, 'reg_yj': 0.02}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.034,0.02
0.6666208171977338,0.6736906223111613,0.6734277217079861,0.6614823551215137,0.6688053790845987,0.005089956859152159,476,1.6377907395362854,0.065033898410532,0.07358145713806152,0.0035685193922794815,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.044, 'reg_yj': 0.001}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.044,0.001
0.6654685374887196,0.671823726493879,0.6721341499498482,0.6585641077847337,0.6669976304292952,0.005548366097935109,163,1.6311396956443787,0.023124300206402694,0.07128763198852539,0.0026694231463215636,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.02, 'reg_yj': 0.031}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.02,0.031
0.665259317214895,0.6712422972057615,0.6729034714138884,0.6583573371784563,0.6669406057532503,0.00571313282743529,140,1.6701055765151978,0.04767087144131962,0.09097760915756226,0.0118755634449709,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.014, 'reg_yj': 0.03}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.014,0.03
0.6669167973722983,0.6724231957598897,0.6749552697955691,0.6609574844394878,0.6688131868418112,0.0053866896293874094,478,1.7863875031471252,0.03825640173229442,0.07384979724884033,0.004747399543177505,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.048, 'reg_yj': 0.028}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.048,0.028
0.6652021544841017,0.6713934005550785,0.672162184270603,0.6581696662423908,0.6667318513880436,0.005631819043134649,76,1.7993667125701904,0.08094524625282982,0.08509701490402222,0.014304917368297069,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.011, 'reg_yj': 0.023}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.011,0.023
0.6661016549847812,0.6721990491321954,0.6731818299013008,0.6593410291021092,0.6677058907800967,0.005538927346856134,318,1.7638930678367615,0.06450642080087533,0.09150344133377075,0.00919489693077318,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.032, 'reg_yj': 0.025}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.032,0.025
0.6666255309348148,0.672985318768545,0.6743720050912662,0.6607414591451131,0.6686810784849346,0.005435438368930748,462,1.787111759185791,0.07736728157905119,0.07550406455993652,0.004859360662503076,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.047, 'reg_yj': 0.024}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.047,0.024
0.6645114196887825,0.6716513466165583,0.6720407987991843,0.658693696273341,0.6667243153444664,0.005521059303451872,73,1.8393054604530334,0.03544641876365702,0.08494919538497925,0.0304891386125462,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.006, 'reg_yj': 0.001}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.006,0.001
0.6666275395242638,0.6719212003257399,0.6739622768388877,0.6604236764434923,0.668233673283096,0.0052438170895717446,405,1.7613955736160278,0.03386649019108569,0.07829552888870239,0.017593849388757823,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.045, 'reg_yj': 0.019}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.045,0.019
0.6650960887852336,0.671478338752418,0.6722313988282123,0.6568632244771953,0.6664172627107647,0.006173407013181932,10,1.6159889698028564,0.09009299120499895,0.08263397216796875,0.008935089742132984,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.002, 'reg_yj': 0.011}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.002,0.011
0.666728161764347,0.6716074557757465,0.6749940665193327,0.6618394991757786,0.6687922958088012,0.004974663706200244,472,1.6753074526786804,0.051070876878781604,0.08295398950576782,0.006847834589494063,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.048, 'reg_yj': 0.032}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.048,0.032
0.6649040893822884,0.6707327309807063,0.6726164619544388,0.659030859498716,0.6668210354540374,0.005320945730595695,106,1.6854535937309265,0.05022346969510909,0.08671605587005615,0.00441608767157825,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.019, 'reg_yj': 0.003}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.019,0.003
0.6649306220711617,0.6710787545677401,0.6720471988397252,0.6580671095946122,0.6665309212683099,0.0055970789598798745,27,1.7394286394119263,0.05410671246882272,0.07978171110153198,0.0030904759268782617,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.012, 'reg_yj': 0.011}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.012,0.011
0.6657532682937553,0.6714835073388495,0.6724612217491351,0.6575074550629445,0.6668013631111711,0.0059462531043864885,102,1.680537223815918,0.045945220732157295,0.07118093967437744,0.008094159513396145,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 1e-05, 'reg_qi': 0.00391, 'lr_pu': 0.00356, 'lr_qi': 0.0016, 'lr_yj': 0.008, 'reg_yj': 0.045}",1,True,577,0.00599,-0.00036,6e-05,0.02749,1e-05,0.00391,0.00356,0.0016,0.008,0.045
