split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_bi,param_lr_bu,param_lr_pu,param_lr_qi,param_lr_yj,param_n_epochs,param_n_factors,param_reg_bi,param_reg_bu,param_reg_pu,param_reg_qi,param_reg_yj
0.6647497900459448,0.6516382451231572,0.6694432361832134,0.6724102099400948,0.6614265912165358,0.6639336145017892,0.00721576077383122,291,3.7594985961914062,0.15531524315009268,0.09077110290527343,0.0023737185572100875,"{'cache_ratings': True, 'lr_bi': 0.023391201099443, 'lr_bu': 5.069178559910242e-05, 'lr_pu': 0.0035130731966882263, 'lr_qi': 0.0008733782203197024, 'lr_yj': 0.0013960697145458923, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.023391201099443,5.069178559910242e-05,0.0035130731966882263,0.0008733782203197024,0.0013960697145458923,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6657999096142402,0.6548193387795341,0.6697683103873838,0.6682542399898724,0.6607743078349145,0.6638832213211889,0.0054632056766297865,273,3.6890116691589356,0.054978358764101565,0.08040919303894042,0.00606066733885192,"{'cache_ratings': True, 'lr_bi': 0.02511552764235778, 'lr_bu': 4.2043641776410875e-05, 'lr_pu': 0.003174602978640595, 'lr_qi': 0.0009349708804792178, 'lr_yj': 0.0026845709369910176, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.02511552764235778,4.2043641776410875e-05,0.003174602978640595,0.0009349708804792178,0.0026845709369910176,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6653724394195557,0.6537983278261289,0.6708478794047368,0.6683653074896174,0.6626953479936587,0.6642158604267394,0.005888568674350398,385,3.882381296157837,0.16075900073642918,0.07869071960449218,0.007094654467985293,"{'cache_ratings': True, 'lr_bi': 0.021597302797239926, 'lr_bu': 4.958662499443644e-05, 'lr_pu': 0.0027803649929588484, 'lr_qi': 0.0010458434713617943, 'lr_yj': 0.0021891166814911214, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.021597302797239926,4.958662499443644e-05,0.0027803649929588484,0.0010458434713617943,0.0021891166814911214,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6643796945817234,0.6527945561837729,0.6716756632373944,0.6683821896048382,0.6611035621242094,0.6636671331463877,0.0065063181849306555,161,3.9746758937835693,0.16027323184118075,0.08915205001831054,0.009324419017019966,"{'cache_ratings': True, 'lr_bi': 0.023372308577976644, 'lr_bu': 5.2472438799630964e-05, 'lr_pu': 0.0026195773850966465, 'lr_qi': 0.0010161250610884352, 'lr_yj': 0.0024613724346494274, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.023372308577976644,5.2472438799630964e-05,0.0026195773850966465,0.0010161250610884352,0.0024613724346494274,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6651431229544178,0.6521496436873203,0.6695824731373218,0.6736145113190595,0.663009427132416,0.6646998356461071,0.007264611400588601,456,4.037821435928345,0.08228732290830944,0.09587693214416504,0.011780508667440626,"{'cache_ratings': True, 'lr_bi': 0.020102224625120794, 'lr_bu': 5.886045282742232e-05, 'lr_pu': 0.004209068658447191, 'lr_qi': 0.0011040931792948544, 'lr_yj': 0.0019752643027949298, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.020102224625120794,5.886045282742232e-05,0.004209068658447191,0.0011040931792948544,0.0019752643027949298,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6651566271172497,0.6533564176415548,0.6702113296790573,0.6701356777660511,0.6610093064369962,0.6639738717281818,0.006321259752532962,305,3.977200984954834,0.0882300072176652,0.08617067337036133,0.01887472875687103,"{'cache_ratings': True, 'lr_bi': 0.024728994081319042, 'lr_bu': 3.81215666941579e-05, 'lr_pu': 0.0032297323556909237, 'lr_qi': 0.0008052247321524567, 'lr_yj': 0.001043647471744843, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.024728994081319042,3.81215666941579e-05,0.0032297323556909237,0.0008052247321524567,0.001043647471744843,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6640985754700047,0.6536672921424068,0.6697928400855258,0.6690378899276274,0.6628045062776025,0.6638802207806334,0.005780473508396165,271,4.129990196228027,0.11636239248149871,0.08271632194519044,0.00438477759552784,"{'cache_ratings': True, 'lr_bi': 0.02146501932044818, 'lr_bu': 4.037742448436301e-05, 'lr_pu': 0.004140748718293206, 'lr_qi': 0.0010714550853317822, 'lr_yj': 0.00046897413084397805, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.02146501932044818,4.037742448436301e-05,0.004140748718293206,0.0010714550853317822,0.00046897413084397805,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6649447185848221,0.6525266094553022,0.6695020122091075,0.6714342626262279,0.6624279542141103,0.664167111417914,0.006639326468302552,367,4.142201232910156,0.19114756877240593,0.07918462753295899,0.01506105045823596,"{'cache_ratings': True, 'lr_bi': 0.018943904107828008, 'lr_bu': 6.28547495669532e-05, 'lr_pu': 0.003242832634644865, 'lr_qi': 0.0010085304561638047, 'lr_yj': 0.00165604984289063, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.018943904107828008,6.28547495669532e-05,0.003242832634644865,0.0010085304561638047,0.00165604984289063,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6652025826808851,0.6526124083922611,1.516565431554094,0.6705896426857662,0.66157136806477,0.8333082866755552,0.34167873228736095,500,3.907804250717163,0.09735370810232898,0.07771973609924317,0.01149922666472443,"{'cache_ratings': True, 'lr_bi': 0.023933898200063405, 'lr_bu': 3.693454846356383e-05, 'lr_pu': 0.0033386571724494133, 'lr_qi': 0.0010865701397785351, 'lr_yj': 0.0016121663133248977, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.023933898200063405,3.693454846356383e-05,0.0033386571724494133,0.0010865701397785351,0.0016121663133248977,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6640805135587758,0.6526136568157433,0.6698282651337263,0.6721083559972949,0.6626231699596817,0.6642507922930444,0.00679633109963549,395,4.0099489212036135,0.19340497299993537,0.09691667556762695,0.03572828519095434,"{'cache_ratings': True, 'lr_bi': 0.02455829177859501, 'lr_bu': 5.4442780496271296e-05, 'lr_pu': 0.002874087852160267, 'lr_qi': 0.0009133018139860523, 'lr_yj': 0.001308719486370851, 'n_epochs': 531, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.02455829177859501,5.4442780496271296e-05,0.002874087852160267,0.0009133018139860523,0.001308719486370851,531,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
