split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.846190260900505,0.8932109953404652,0.8910422233476741,0.8715991242286755,0.87551065095433,0.01890447861375334,374,5.878666043281555,0.031322948652204016,1.6660581231117249,0.008609567484411556,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.091, 'reg_all': 0.731, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.091,0.731,0,0
0.7197505197793324,0.7590174709691211,0.7561419378105172,0.7368920338401688,0.7429504905997848,0.01586746421202959,132,5.945958375930786,0.05316560491630668,1.71644127368927,0.04407349446929066,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.030000000000000002, 'reg_all': 0.339, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.030000000000000002,0.339,0,0
0.7749943385752533,0.815888512587786,0.8167074515151697,0.796224661664178,0.8009537410855968,0.017084214665807358,230,5.683440804481506,0.04899875212524969,0.8345282673835754,0.006779526601555628,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.094, 'reg_all': 0.438, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.094,0.438,0,0
0.8925902760396763,0.9377835031560828,0.9307553177722467,0.9207961879775263,0.920481321236383,0.017196875059372996,463,5.560407757759094,0.04539191784106396,0.8711794018745422,0.0601446578154462,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.022000000000000002, 'reg_all': 0.906, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.022000000000000002,0.906,0,0
0.6963440340190987,0.7285200624234327,0.7262663538236259,0.7059129279719497,0.7142608445595268,0.013584525737723072,86,5.156290531158447,0.02741547095775233,0.824718177318573,0.010302549204966484,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.065, 'reg_all': 0.182, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.065,0.182,0,0
0.6983686475976337,0.7272999958032395,0.7254075586636198,0.7059883181590225,0.7142661300558788,0.012402270014513037,87,5.142202973365784,0.024750310789633564,0.8337877988815308,0.022331647390735235,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.085, 'reg_all': 0.139, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.085,0.139,0,0
0.7774224086116395,0.821707321779971,0.8212567243691344,0.801956409333249,0.8055857160234985,0.018109599844853566,243,5.138526499271393,0.030732849140614183,0.8548032641410828,0.017418181712746544,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.062, 'reg_all': 0.502, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.062,0.502,0,0
0.7338379308122909,0.7750630772453693,0.7727981992180646,0.7537065637906387,0.7588514427665909,0.016654388820633314,150,5.123406767845154,0.03152998797290636,0.963549792766571,0.05580283425795902,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.036000000000000004, 'reg_all': 0.381, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.036000000000000004,0.381,0,0
0.6886044856776976,0.7192931359486922,0.716412061066831,0.6962769519974,0.7051466586726551,0.013032145778077967,63,5.276330292224884,0.014803925491153114,1.028476059436798,0.015889466973544746,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.056, 'reg_all': 0.164, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.056,0.164,0,0
0.8262477455749164,0.8715283663262319,0.8708264237337571,0.8505702523316778,0.8547931969916458,0.01850544724268527,327,5.21506804227829,0.048297514655889134,1.0422067642211914,0.0135795377188012,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.099, 'reg_all': 0.636, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.099,0.636,0,0
0.739795296339157,0.7807141065190477,0.7797909927170776,0.7595871054658992,0.7649718752602954,0.01680981825535972,168,6.694560885429382,0.02448567236134351,1.5470699667930603,0.033140349595406314,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.058, 'reg_all': 0.37, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.058,0.37,0,0
0.8283444080828357,0.8744121047873665,0.8733175722779211,0.8536846755027989,0.8574396901627306,0.018713668621220394,338,6.784658789634705,0.06815815933778296,1.6133444905281067,0.012532466987775107,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.089, 'reg_all': 0.661, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.089,0.661,0,0
0.8483843623248809,0.8972916742085438,0.8931201502922596,0.8812392075574633,0.8800088485957869,0.019184786996538385,385,6.222360730171204,0.013359414612832169,0.9197017550468445,0.02191825024211352,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.027000000000000003, 'reg_all': 0.766, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.027000000000000003,0.766,0,0
0.8904624276807523,0.9391446948262031,0.9315281884945749,0.9186017678773273,0.9199342697197144,0.018532568761909195,460,6.105813562870026,0.036654416837518945,0.9316372871398926,0.016005023816252024,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.060000000000000005, 'reg_all': 0.9420000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.060000000000000005,0.9420000000000001,0,0
0.84712358492443,0.8949107029526503,0.8921891558808948,0.8741754091171005,0.8770997132187688,0.019052837434039283,379,5.818473815917969,0.020510817587094183,0.9276320338249207,0.014101968051309097,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.076, 'reg_all': 0.754, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.076,0.754,0,0
0.8712539215233378,0.9202863465127464,0.9146779299434465,0.9023760068226528,0.9021485512005459,0.01897692565605787,434,5.761458933353424,0.08748110938147086,0.9562002420425415,0.017590199397440803,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.043000000000000003, 'reg_all': 0.862, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.043000000000000003,0.862,0,0
0.7988898663403066,0.8436682203850858,0.8434453790094516,0.8239238020314409,0.8274818169415712,0.01835070897552162,277,5.5382161140441895,0.01717862678983992,1.218658983707428,0.052815852917600936,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.077, 'reg_all': 0.562, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.077,0.562,0,0
0.8173293129065716,0.8632371340348086,0.862422946659777,0.8431650160055423,0.8465386024016749,0.0186796482113127,310,5.494645416736603,0.015042254776987186,1.4273300170898438,0.06849223991059938,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.08, 'reg_all': 0.63, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.08,0.63,0,0
0.8643748039636083,0.9134031200032974,0.9085124291773485,0.894930927130308,0.8953053200686405,0.01909708806389153,418,5.663651943206787,0.02810873768901724,0.9820268750190735,0.010931809336991614,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.048, 'reg_all': 0.837, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.048,0.837,0,0
0.8303120649830839,0.8787918856177432,0.8746790255108783,0.863412964895918,0.8617989852519059,0.019030798579030166,346,5.525740265846252,0.030062316585588562,0.9838747978210449,0.02345414342853369,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.014000000000000002, 'reg_all': 0.6930000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.014000000000000002,0.6930000000000001,0,0
0.7002534196914371,0.7327810517027307,0.7286362238239454,0.7102477042043465,0.7179795998556149,0.013291409676553116,95,5.425638198852539,0.02482220534343948,0.8836187124252319,0.011594247769480691,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.007, 'reg_all': 0.28300000000000003, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.007,0.28300000000000003,0,0
0.8365738321171888,0.8831049785138602,0.8815532831758092,0.8619942011634881,0.8658065737425866,0.018816754723014046,353,5.489354431629181,0.1262443969879506,0.8934722542762756,0.02229238777566395,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.09, 'reg_all': 0.6930000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.09,0.6930000000000001,0,0
0.7169725439820878,0.7504432262765236,0.7495613840891568,0.7293687158676592,0.7365864675538569,0.014117012420117534,120,5.621300041675568,0.010158714893630657,0.9323437213897705,0.012273500203341389,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.09, 'reg_all': 0.213, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.09,0.213,0,0
0.6944559029435206,0.7284429271800097,0.7253962441444217,0.7051214534639625,0.7133541319329786,0.014120944216234351,85,5.6212281584739685,0.025282190070392813,0.9548397064208984,0.0065956550970435405,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.034, 'reg_all': 0.23500000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.034,0.23500000000000001,0,0
0.8624066209824826,0.911102828747804,0.9067737131806622,0.8908031233914822,0.8927715715756077,0.019091882907519342,412,5.940065860748291,0.0317958306171191,0.9186686277389526,0.01978383149086216,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.065, 'reg_all': 0.8250000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.065,0.8250000000000001,0,0
0.869395334067734,0.9174153751740314,0.9132247901049693,0.8946569820720793,0.8986731203547034,0.018949547123902725,429,5.926939308643341,0.012553912874215301,0.9677432179450989,0.015555374920764085,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.09, 'reg_all': 0.8290000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.09,0.8290000000000001,0,0
0.8652460659382167,0.9128159703513234,0.9093286325171175,0.889729305953433,0.8942799936900228,0.01893225871964084,414,5.546403527259827,0.01400741929472251,0.8984178304672241,0.017593417673259136,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.098, 'reg_all': 0.8, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.098,0.8,0,0
0.7610470616800027,0.8055649751097327,0.8019859624880713,0.7859771260286947,0.7886437813266254,0.01755726760434681,207,5.508202373981476,0.031193119221848524,0.9280129671096802,0.010539319198734257,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.016, 'reg_all': 0.487, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.016,0.487,0,0
0.6931617056229609,0.7261054694359111,0.7233194503341346,0.7028544908593648,0.7113602790630928,0.013820084341668466,80,5.619767248630524,0.0375960699139089,0.9193795919418335,0.001936524161390883,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.05, 'reg_all': 0.2, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.05,0.2,0,0
0.6727809179873064,0.6929440641691226,0.6854977209250104,0.6705413965324264,0.6804410249034665,0.009200218005359178,9,5.580086767673492,0.02289702003764783,0.9283535480499268,0.010160850551899544,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.030000000000000002, 'reg_all': 0.044000000000000004, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.030000000000000002,0.044000000000000004,0,0
0.6703493993438244,0.6905115411782011,0.6837228068854659,0.6673653731567789,0.6779872801410677,0.009498888258866751,2,5.532553493976593,0.03410417413548907,0.9014083743095398,0.013340984587005174,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.017, 'reg_all': 0.056, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.017,0.056,0,0
0.7772891378641916,0.8219248713431622,0.8212186893545773,0.8022397752560526,0.805668118454496,0.018188061649285204,244,5.5517284870147705,0.021689972331166,0.9613885879516602,0.04657437853542391,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.057, 'reg_all': 0.508, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.057,0.508,0,0
0.6927301646585607,0.726261713590594,0.7231125506331334,0.7028249725590276,0.711232350360329,0.013964560455539907,79,5.573608577251434,0.015178249888012828,0.9043402671813965,0.010127372578369787,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.036000000000000004, 'reg_all': 0.224, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.036000000000000004,0.224,0,0
0.7946171426223855,0.8387867235265829,0.8388384953609344,0.8222503967704275,0.8236231895700826,0.01806013297266841,270,5.567596018314362,0.01791611002183537,0.9178362488746643,0.005567561229792544,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.005, 'reg_all': 0.5760000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.005,0.5760000000000001,0,0
0.8339365977581654,0.8825194789041677,0.8793761747539567,0.8651182773237996,0.8652376321850224,0.019224526091504723,350,5.521659314632416,0.027105477014517432,0.9303179979324341,0.01023533772104938,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.037000000000000005, 'reg_all': 0.722, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.037000000000000005,0.722,0,0
0.677932795189458,0.6996313359692471,0.6944733271955956,0.6776867874206269,0.687431061443732,0.00979295848418959,22,5.568476557731628,0.03623686468781944,0.9304502010345459,0.009080941473552257,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.060000000000000005, 'reg_all': 0.045, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.060000000000000005,0.045,0,0
