split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi,param_lr_bu,param_lr_bi
0.7028914731805269,0.6756742623671014,0.6813382574889703,0.6996929887643321,0.6898992454502326,0.01162277987495402,248,1.651852011680603,0.029253282348003694,0.08155518770217896,0.009911422606407719,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.023, 'reg_bi': 0.033, 'lr_bu': 0.007, 'lr_bi': 0.036000000000000004}",1,True,577,0.00263,0.00942,0.023,0.033,0.007,0.036000000000000004
0.7043923051445814,0.6798586536814765,0.6863779773296896,0.7032110450620958,0.6934599953044609,0.010603653171859902,392,1.645326316356659,0.018880989753368996,0.08444154262542725,0.011248826398832493,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.022, 'reg_bi': 0.026000000000000002, 'lr_bu': 0.027, 'lr_bi': 0.045}",1,True,577,0.00263,0.00942,0.022,0.026000000000000002,0.027,0.045
0.709657822223354,0.6897051153521864,0.6860547530432861,0.7019646684355368,0.6968455897635909,0.00945762653889417,484,1.6002892851829529,0.04938846025704052,0.07378584146499634,0.007503357558356362,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.011, 'reg_bi': 0.009000000000000001, 'lr_bu': 0.046, 'lr_bi': 0.0}",1,True,577,0.00263,0.00942,0.011,0.009000000000000001,0.046,0.0
0.7029343937960827,0.6683238051852348,0.6759255840440394,0.6943658030720506,0.6853873965243519,0.013867236045720117,99,1.6158375144004822,0.029025181894407486,0.06808668375015259,0.0032972207122959644,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.013000000000000001, 'reg_bi': 0.042, 'lr_bu': 0.002, 'lr_bi': 0.016}",1,True,577,0.00263,0.00942,0.013000000000000001,0.042,0.002,0.016
0.696137826008809,0.6678506027281533,0.6803199454019491,0.6924880884513277,0.6841991156475598,0.011108124410784155,71,1.7175458669662476,0.12472776570912023,0.08279842138290405,0.0206771137302369,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.024, 'reg_bi': 0.002, 'lr_bu': 0.046, 'lr_bi': 0.043000000000000003}",1,True,577,0.00263,0.00942,0.024,0.002,0.046,0.043000000000000003
0.70769422984358,0.6808640334270003,0.6878024901003729,0.7047634744347171,0.6952810569514175,0.011267016375547766,456,1.6543357372283936,0.03777723530849893,0.08001047372817993,0.01234603359041443,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.046, 'reg_bi': 0.04, 'lr_bu': 0.049, 'lr_bi': 0.041}",1,True,577,0.00263,0.00942,0.046,0.04,0.049,0.041
0.7049256422946956,0.676115070620396,0.6881996989661432,0.7013791817996313,0.6926548984202165,0.011402839356281941,361,1.6588873863220215,0.032650008451619916,0.07228177785873413,0.012046960123651708,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.034, 'reg_bi': 0.026000000000000002, 'lr_bu': 0.025, 'lr_bi': 0.045}",1,True,577,0.00263,0.00942,0.034,0.026000000000000002,0.025,0.045
0.7020923374335173,0.6779304842731553,0.6848958125619623,0.699004937983368,0.6909808930630008,0.009939704059595414,284,1.7094495296478271,0.03684801520428143,0.07760113477706909,0.008965966455225533,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.01, 'reg_bi': 0.013000000000000001, 'lr_bu': 0.033, 'lr_bi': 0.042}",1,True,577,0.00263,0.00942,0.01,0.013000000000000001,0.033,0.042
0.7061029012637242,0.6831297813850952,0.6865014149694126,0.7006712859355718,0.6941013458884511,0.009556877383250822,421,1.6276692748069763,0.03270465053113135,0.07565218210220337,0.004043289936210898,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.007, 'reg_bi': 0.028, 'lr_bu': 0.032, 'lr_bi': 0.017}",1,True,577,0.00263,0.00942,0.007,0.028,0.032,0.017
0.7104578294026852,0.6874899962929928,0.689590537561156,0.7035954796247496,0.6977834607203959,0.009585126303948524,491,1.6717589497566223,0.04766545638282807,0.06717449426651001,0.004493776149846546,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.014, 'reg_bi': 0.048, 'lr_bu': 0.049, 'lr_bi': 0.041}",1,True,577,0.00263,0.00942,0.014,0.048,0.049,0.041
0.7080327323236743,0.6845661226459737,0.6881552847724504,0.7039996065068388,0.6961884365622344,0.010011386347976117,473,1.683301866054535,0.0640617194127331,0.07801806926727295,0.0031060137095886013,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.0, 'reg_bi': 0.04, 'lr_bu': 0.033, 'lr_bi': 0.018000000000000002}",1,True,577,0.00263,0.00942,0.0,0.04,0.033,0.018000000000000002
0.7028326542089103,0.6708237110368355,0.6779485058342547,0.694658777927832,0.6865659122519581,0.012768887590615433,139,1.6825001239776611,0.026670693437931523,0.07822608947753906,0.00603799477482849,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.02, 'reg_bi': 0.037, 'lr_bu': 0.003, 'lr_bi': 0.02}",1,True,577,0.00263,0.00942,0.02,0.037,0.003,0.02
0.7000178969593358,0.6715804444265834,0.6831100070660946,0.6975653906383132,0.6880684347725817,0.011504582220125507,177,1.621830940246582,0.039203525945429446,0.07556498050689697,0.007931020141375396,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.035, 'reg_bi': 0.009000000000000001, 'lr_bu': 0.04, 'lr_bi': 0.049}",1,True,577,0.00263,0.00942,0.035,0.009000000000000001,0.04,0.049
0.7048467494786452,0.6785696574638852,0.6813425885606728,0.6992034786514527,0.6909906185386638,0.01125620042838089,286,1.6347858309745789,0.045129539758092745,0.07107347249984741,0.006375596071127331,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.019, 'reg_bi': 0.049, 'lr_bu': 0.013000000000000001, 'lr_bi': 0.017}",1,True,577,0.00263,0.00942,0.019,0.049,0.013000000000000001,0.017
