split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.7123425938086067,0.7184589774044586,0.7326445368904263,0.7211487027011638,0.008503653718771449,241,70.16728210449219,0.13546153415429465,0.11419932047526042,0.005179099187976673,"{'cache_ratings': 'True', 'lr_all': 0.00888284285232981, 'n_epochs': 1057, 'n_factors': 245, 'reg_all': 0.20989580216875686, 'reg_bi': 0, 'reg_bu': 0}",True,0.00888284285232981,1057,245,0.20989580216875686,0,0
0.7198184757831405,0.7200317957498394,0.7339872460023726,0.7246125058451175,0.006629514367035078,436,13.983532587687174,0.06465367745423187,0.09179067611694336,0.005675554494184076,"{'cache_ratings': 'True', 'lr_all': 0.009930714207194095, 'n_epochs': 778, 'n_factors': 62, 'reg_all': 0.06082944678424012, 'reg_bi': 0, 'reg_bu': 0}",True,0.009930714207194095,778,62,0.06082944678424012,0,0
0.7362858985511036,0.7329468984484231,0.7466153096472986,0.7386160355489418,0.005818276949802643,761,29.12038032213847,0.14244302402114659,0.08590094248453777,0.0036257881729729905,"{'cache_ratings': 'True', 'lr_all': 0.004822458180089714, 'n_epochs': 835, 'n_factors': 128, 'reg_all': 0.05040165822610983, 'reg_bi': 0, 'reg_bu': 0}",True,0.004822458180089714,835,128,0.05040165822610983,0,0
0.7091951307183061,0.7146127015075713,0.7278560512671083,0.7172212944976618,0.007838412125472836,8,25.228416204452515,0.40705851772555196,0.0967542330423991,0.013215605025366254,"{'cache_ratings': 'True', 'lr_all': 0.004940409298658298, 'n_epochs': 1259, 'n_factors': 71, 'reg_all': 0.15281748308338577, 'reg_bi': 0, 'reg_bu': 0}",True,0.004940409298658298,1259,71,0.15281748308338577,0,0
0.727008536899891,0.7304240467338708,0.7440863180669572,0.7338396339002397,0.007378451922810929,700,28.428218523661297,0.03262782917940737,0.08919986089070638,0.0026739598212926234,"{'cache_ratings': 'True', 'lr_all': 0.0033443291474801284, 'n_epochs': 1443, 'n_factors': 73, 'reg_all': 0.29735792310452963, 'reg_bi': 0, 'reg_bu': 0}",True,0.0033443291474801284,1443,73,0.29735792310452963,0,0
0.7151230584247459,0.7166128092709544,0.7327228657311547,0.7214862444756184,0.00796873399925083,274,47.29452466964722,0.11105491613844638,0.08451525370279948,0.008048685169351423,"{'cache_ratings': 'True', 'lr_all': 0.0025698439967718313, 'n_epochs': 1979, 'n_factors': 86, 'reg_all': 0.09542162427010628, 'reg_bi': 0, 'reg_bu': 0}",True,0.0025698439967718313,1979,86,0.09542162427010628,0,0
7.405725714472678,7.449540400179936,7.414539001248579,7.4232683719670645,0.018922351963784736,974,25.93843921025594,0.41940011126801735,0.11667863527933757,0.03612063408897975,"{'cache_ratings': 'True', 'lr_all': 0.21442912198940348, 'n_epochs': 1068, 'n_factors': 90, 'reg_all': 0.0642914956212979, 'reg_bi': 0, 'reg_bu': 0}",True,0.21442912198940348,1068,90,0.0642914956212979,0,0
0.7518363635850912,0.7397653720301102,0.761157657326145,0.7509197976471155,0.008757379264967745,841,13.268667777379354,0.22604837556841573,0.09575279553731282,0.004152659374759036,"{'cache_ratings': 'True', 'lr_all': 0.006363244324097088, 'n_epochs': 464, 'n_factors': 106, 'reg_all': 0.03895797087322363, 'reg_bi': 0, 'reg_bu': 0}",True,0.006363244324097088,464,106,0.03895797087322363,0,0
0.7175000443991288,0.722758160578784,0.736904987827624,0.7257210642685124,0.008194390604624157,486,40.70089602470398,0.3611662545805898,0.09783999125162761,0.003956391920416184,"{'cache_ratings': 'True', 'lr_all': 0.008211104948116568, 'n_epochs': 1367, 'n_factors': 110, 'reg_all': 0.2472235723481504, 'reg_bi': 0, 'reg_bu': 0}",True,0.008211104948116568,1367,110,0.2472235723481504,0,0
0.7262923753072501,0.7230876547347043,0.7373526464859391,0.7289108921759645,0.006110917572100282,595,14.617870012919107,0.08247557895806189,0.09764162699381511,0.004878777299142482,"{'cache_ratings': 'True', 'lr_all': 0.020686516516687403, 'n_epochs': 248, 'n_factors': 220, 'reg_all': 0.0758407786158854, 'reg_bi': 0, 'reg_bu': 0}",True,0.020686516516687403,248,220,0.0758407786158854,0,0
0.7101276715937126,0.7166381662431833,0.7310685771321825,0.7192781383230261,0.008750522675038428,108,67.17772857348125,0.4381539963107701,0.10877331097920735,0.01741593998502503,"{'cache_ratings': 'True', 'lr_all': 0.011309716960440431, 'n_epochs': 1940, 'n_factors': 124, 'reg_all': 0.15118248261121486, 'reg_bi': 0, 'reg_bu': 0}",True,0.011309716960440431,1940,124,0.15118248261121486,0,0
0.726368404599661,0.7219244700666178,0.7371008679775345,0.7284645808812712,0.006370569291165323,584,51.21966894467672,0.4162930433815788,0.09479284286499023,0.01195892685023339,"{'cache_ratings': 'True', 'lr_all': 0.0019480516958486791, 'n_epochs': 989, 'n_factors': 188, 'reg_all': 0.15535366306465773, 'reg_bi': 0, 'reg_bu': 0}",True,0.0019480516958486791,989,188,0.15535366306465773,0,0
0.7126965426594212,0.7190703271440667,0.732729340859006,0.721498736887498,0.008356679218358448,276,25.10952361424764,0.3111379594580475,0.1098017692565918,0.022446300824107653,"{'cache_ratings': 'True', 'lr_all': 0.02715056034545938, 'n_epochs': 634, 'n_factors': 147, 'reg_all': 0.1286934410692506, 'reg_bi': 0, 'reg_bu': 0}",True,0.02715056034545938,634,147,0.1286934410692506,0,0
