split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_lr_bi,param_lr_bu,param_lr_pu,param_lr_qi,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu,param_reg_pu,param_reg_qi
0.6636793033304524,0.6532520970643375,0.6789515401524845,0.6710035774637885,0.6667216295027658,0.009468234332356055,165,1.603876769542694,0.056819746688165654,0.07388222217559814,0.003939667653754458,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.0027628982006752735, 'lr_qi': 0.0017583809306681603, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0023246008628571577, 'reg_qi': 0.006450891648566811}",True,0.00263,0.02749,6e-05,0.0027628982006752735,0.0017583809306681603,577,1,0.00942,-0.00036,0.00599,-0.0023246008628571577,0.006450891648566811
0.6637809978042065,0.6525435951462044,0.6794242404567665,0.6710552160738821,0.6667010123702648,0.00987165855309855,146,1.637533724308014,0.049117971188294335,0.07466936111450195,0.00691213676020224,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.002287910112709651, 'lr_qi': 0.0014184872319491866, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0032107513616263833, 'reg_qi': 0.009238276919255356}",True,0.00263,0.02749,6e-05,0.002287910112709651,0.0014184872319491866,577,1,0.00942,-0.00036,0.00599,-0.0032107513616263833,0.009238276919255356
0.6635947301512051,0.6540233836678447,0.6790644245390017,0.6706751249239967,0.666839415820512,0.00920519103175638,281,1.699198842048645,0.06879637843077857,0.0801006555557251,0.010605232789533939,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.0027410337515456494, 'lr_qi': 0.0014312477911071428, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0024879034582704655, 'reg_qi': 0.004957683363485959}",True,0.00263,0.02749,6e-05,0.0027410337515456494,0.0014312477911071428,577,1,0.00942,-0.00036,0.00599,-0.0024879034582704655,0.004957683363485959
0.6635239541462177,0.653183466925183,0.6792538762908452,0.6714190446278916,0.6668450854975343,0.009651022310453021,289,1.6134562492370605,0.016483129276002897,0.06864321231842041,0.0010779030592292058,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.002327572809539673, 'lr_qi': 0.0012086797827464016, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.002160144996429864, 'reg_qi': 0.008376152155277415}",True,0.00263,0.02749,6e-05,0.002327572809539673,0.0012086797827464016,577,1,0.00942,-0.00036,0.00599,-0.002160144996429864,0.008376152155277415
0.6635054631195971,0.653090426763893,0.679245746922467,0.6710865857101787,0.6667320556290339,0.00964441988057262,170,1.669651746749878,0.037288059862862356,0.08172398805618286,0.008262327835361011,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.0027090391410968715, 'lr_qi': 0.0016314403715334564, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.005110908949624332, 'reg_qi': 0.006349624591406692}",True,0.00263,0.02749,6e-05,0.0027090391410968715,0.0016314403715334564,577,1,0.00942,-0.00036,0.00599,-0.005110908949624332,0.006349624591406692
0.6636596719259157,0.6528867863865226,0.6792319910810974,0.6707028568920912,0.6666203265714068,0.009657856095738769,97,1.6285305619239807,0.07726895494107949,0.08116275072097778,0.004721167564027009,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.002212284397717172, 'lr_qi': 0.0011828474009541682, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0024778953568557224, 'reg_qi': 0.005424993297891635}",True,0.00263,0.02749,6e-05,0.002212284397717172,0.0011828474009541682,577,1,0.00942,-0.00036,0.00599,-0.0024778953568557224,0.005424993297891635
0.6634083424449838,0.6530491074019356,0.6800740249212422,0.6705179022616202,0.6667623442574455,0.009881893179332258,198,1.6287512183189392,0.05261722122712468,0.07499724626541138,0.007937588875441265,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.002664158474951871, 'lr_qi': 0.001547476905309343, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0024261180401709713, 'reg_qi': 0.005220809782895447}",True,0.00263,0.02749,6e-05,0.002664158474951871,0.001547476905309343,577,1,0.00942,-0.00036,0.00599,-0.0024261180401709713,0.005220809782895447
0.6636850478124683,0.6534553840664749,0.6795262682191331,0.6702174347253071,0.6667210337058458,0.009505176507152617,163,1.6605589389801025,0.08377319734777648,0.07081949710845947,0.003141029934549401,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.0020657237187651245, 'lr_qi': 0.001591504786157299, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0036173497439902116, 'reg_qi': 0.006410706483840852}",True,0.00263,0.02749,6e-05,0.0020657237187651245,0.001591504786157299,577,1,0.00942,-0.00036,0.00599,-0.0036173497439902116,0.006410706483840852
0.6642169521245157,0.6527069704416892,0.6795692568866705,0.6709589184079331,0.6668630244652021,0.009818608021089784,306,1.6612156629562378,0.07552868484170551,0.06895577907562256,0.009063772227537655,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.002190858524277884, 'lr_qi': 0.0012863945917520546, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': 0.0015574534737481053, 'reg_qi': 0.006514537671623726}",True,0.00263,0.02749,6e-05,0.002190858524277884,0.0012863945917520546,577,1,0.00942,-0.00036,0.00599,0.0015574534737481053,0.006514537671623726
0.6637844797882713,0.6524242299014774,0.6800002194723485,0.6703294894201187,0.666634604645554,0.010029329430035795,104,1.6670202016830444,0.014564035412967928,0.0714154839515686,0.005700472653896932,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.02749, 'lr_bu': 6e-05, 'lr_pu': 0.0019213083705191343, 'lr_qi': 0.001386037983502496, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00036, 'reg_bu': 0.00599, 'reg_pu': -0.0029209553603496974, 'reg_qi': 0.0025618466792495078}",True,0.00263,0.02749,6e-05,0.0019213083705191343,0.001386037983502496,577,1,0.00942,-0.00036,0.00599,-0.0029209553603496974,0.0025618466792495078
