split0_test_rmse,split1_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_biased,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.9948946267611019,1.0057779294971394,1.0003362781291205,0.005441651368018774,184,0.902301549911499,0.0046787261962890625,0.09396862983703613,0.004914522171020508,"{'n_factors': 29, 'n_epochs': 300, 'biased': True, 'lr_all': 0.03162277660168379, 'reg_all': 5.623413251903491e-05, 'reg_bu': 0, 'reg_bi': 0}",29,300,True,0.03162277660168379,5.623413251903491e-05,0,0
1.1799416491991568,1.1561735669574698,1.1680576080783132,0.011884041120843512,324,0.8731430768966675,0.004270195960998535,0.10417163372039795,0.0037735700607299805,"{'n_factors': 42, 'n_epochs': 250, 'biased': True, 'lr_all': 0.0005623413251903491, 'reg_all': 1e-05, 'reg_bu': 0, 'reg_bi': 0}",42,250,True,0.0005623413251903491,1e-05,0,0
1.4158128217209496,1.4840920264925328,1.4499524241067412,0.03413960238579161,422,1.1200441122055054,0.004783987998962402,0.08533191680908203,0.0042879581451416016,"{'n_factors': 99, 'n_epochs': 200, 'biased': False, 'lr_all': 0.005623413251903491, 'reg_all': 0.01778279410038923, 'reg_bu': 0, 'reg_bi': 0}",99,200,False,0.005623413251903491,0.01778279410038923,0,0
0.8978970769138052,0.9251664443697106,0.9115317606417579,0.013634683727952734,122,0.33024001121520996,0.0039899349212646484,0.08978581428527832,0.0006580352783203125,"{'n_factors': 42, 'n_epochs': 100, 'biased': False, 'lr_all': 0.05623413251903491, 'reg_all': 5.623413251903491e-05, 'reg_bu': 0, 'reg_bi': 0}",42,100,False,0.05623413251903491,5.623413251903491e-05,0,0
0.8371196305318724,0.8350378775111995,0.836078754021536,0.0010408765103364637,40,0.5624045133590698,0.002097487449645996,0.09858202934265137,0.0006260871887207031,"{'n_factors': 94, 'n_epochs': 100, 'biased': True, 'lr_all': 0.1, 'reg_all': 0.01, 'reg_bu': 0, 'reg_bi': 0}",94,100,True,0.1,0.01,0,0
1.1189048741308254,1.0911966031557712,1.1050507386432984,0.01385413548752712,280,0.5222125053405762,0.0036122798919677734,0.10414707660675049,0.0015851259231567383,"{'n_factors': 82, 'n_epochs': 100, 'biased': True, 'lr_all': 0.0031622776601683794, 'reg_all': 0.005623413251903491, 'reg_bu': 0, 'reg_bi': 0}",82,100,True,0.0031622776601683794,0.005623413251903491,0,0
0.8220391239206076,0.812568795852119,0.8173039598863634,0.004735164034244288,35,0.12444031238555908,0.0015975236892700195,0.09501898288726807,0.0009530782699584961,"{'n_factors': 15, 'n_epochs': 50, 'biased': True, 'lr_all': 0.1778279410038923, 'reg_all': 0.31622776601683794, 'reg_bu': 0, 'reg_bi': 0}",15,50,True,0.1778279410038923,0.31622776601683794,0,0
0.8811648228580463,0.8804495418965653,0.8808071823773058,0.00035764048074049537,86,0.6757785081863403,0.009775519371032715,0.11114799976348877,0.003092169761657715,"{'n_factors': 127, 'n_epochs': 100, 'biased': True, 'lr_all': 0.1, 'reg_all': 0.005623413251903491, 'reg_bu': 0, 'reg_bi': 0}",127,100,True,0.1,0.005623413251903491,0,0
0.7801107014067062,0.7637817366701478,0.771946219038427,0.008164482368279213,4,0.9481825828552246,0.003597259521484375,0.10897660255432129,0.0006315708160400391,"{'n_factors': 69, 'n_epochs': 200, 'biased': True, 'lr_all': 0.05623413251903491, 'reg_all': 0.1778279410038923, 'reg_bu': 0, 'reg_bi': 0}",69,200,True,0.05623413251903491,0.1778279410038923,0,0
1.1447459780575935,1.128691125196085,1.1367185516268392,0.00802742643075427,304,0.8260880708694458,0.011718153953552246,0.09353256225585938,0.008573532104492188,"{'n_factors': 56, 'n_epochs': 200, 'biased': False, 'lr_all': 0.01, 'reg_all': 0.01778279410038923, 'reg_bu': 0, 'reg_bi': 0}",56,200,False,0.01,0.01778279410038923,0,0
0.9911236025707902,0.9605910814017886,0.9758573419862895,0.015266260584500813,164,0.33574414253234863,0.0023920536041259766,0.08968007564544678,0.0021790266036987305,"{'n_factors': 31, 'n_epochs': 100, 'biased': True, 'lr_all': 0.01, 'reg_all': 0.01, 'reg_bu': 0, 'reg_bi': 0}",31,100,True,0.01,0.01,0,0
0.9525809425279111,0.9569260816084761,0.9547535120681936,0.0021725695402824985,148,1.3506829738616943,0.0021500587463378906,0.09553050994873047,0.0043184757232666016,"{'n_factors': 118, 'n_epochs': 200, 'biased': True, 'lr_all': 0.01, 'reg_all': 0.03162277660168379, 'reg_bu': 0, 'reg_bi': 0}",118,200,True,0.01,0.03162277660168379,0,0
3.8983510842095814,3.8593635007511207,3.878857292480351,0.01949379172923038,780,0.9479653835296631,0.0034046173095703125,0.08279407024383545,0.004830002784729004,"{'n_factors': 101, 'n_epochs': 150, 'biased': False, 'lr_all': 3.1622776601683795e-05, 'reg_all': 0.1778279410038923, 'reg_bu': 0, 'reg_bi': 0}",101,150,False,3.1622776601683795e-05,0.1778279410038923,0,0
1.5332079985024687,1.6261027087561772,1.579655353629323,0.04644735512685427,464,0.619403600692749,0.005157470703125,0.0900418758392334,0.005630016326904297,"{'n_factors': 101, 'n_epochs': 100, 'biased': False, 'lr_all': 0.01, 'reg_all': 0.0017782794100389228, 'reg_bu': 0, 'reg_bi': 0}",101,100,False,0.01,0.0017782794100389228,0,0
