split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.7276026276732735,0.7179986275051754,0.7215545811498044,0.7223852787760845,0.003964572168337779,534,0.9270776907602946,0.04237037097737849,0.08327110608418782,0.0011452853195722497,"{'lr_all': 0.05639595742451635, 'n_epochs': 200, 'n_factors': 16, 'reg_all': 0.11154513841004865, 'reg_bi': 0, 'reg_bu': 0}",0.05639595742451635,200,16,0.11154513841004865,0,0
0.721243473719862,0.7115404279026029,0.7184627713817765,0.7170822243347471,0.004079763648771301,50,2.319960276285807,0.014864308326108308,0.09895563125610352,0.005272398732860097,"{'lr_all': 0.0426851455734025, 'n_epochs': 200, 'n_factors': 105, 'reg_all': 0.15414973270953358, 'reg_bi': 0, 'reg_bu': 0}",0.0426851455734025,200,105,0.15414973270953358,0,0
0.7222720958860663,0.7122345348997684,0.7198655659893047,0.7181240655917133,0.004278845277604797,176,1.949054479598999,0.028682789933182365,0.09163506825764973,0.0012473140486851688,"{'lr_all': 0.0404344883689749, 'n_epochs': 200, 'n_factors': 74, 'reg_all': 0.1816074018977306, 'reg_bi': 0, 'reg_bu': 0}",0.0404344883689749,200,74,0.1816074018977306,0,0
0.7269217608490532,0.7194736464547263,0.7235531250776445,0.7233161774604747,0.003045292557123399,578,1.88066569964091,0.059889975465287584,0.10088618596394856,0.004380642497245941,"{'lr_all': 0.05301262505559376, 'n_epochs': 200, 'n_factors': 66, 'reg_all': 0.0627043509898359, 'reg_bi': 0, 'reg_bu': 0}",0.05301262505559376,200,66,0.0627043509898359,0,0
0.7267226656067949,0.7254590445352026,0.7271671047060914,0.7264496049493631,0.0007235509559673983,701,1.1616556644439697,0.00905280222045336,0.09725435574849446,0.0032102031424060206,"{'lr_all': 0.023860616762905476, 'n_epochs': 200, 'n_factors': 18, 'reg_all': 0.09873912741982732, 'reg_bi': 0, 'reg_bu': 0}",0.023860616762905476,200,18,0.09873912741982732,0,0
0.7234529505123196,0.7128576052552206,0.7206879112270029,0.7189994889981811,0.0044872718137986475,275,10.516263246536255,0.05778779077793273,0.1096041202545166,0.004751752697993426,"{'lr_all': 0.05371964883071351, 'n_epochs': 200, 'n_factors': 607, 'reg_all': 0.17215888398829082, 'reg_bi': 0, 'reg_bu': 0}",0.05371964883071351,200,607,0.17215888398829082,0,0
0.7314329300547212,0.7225757355802724,0.7274752860746605,0.7271613172365514,0.0036227435103826262,720,12.458277304967245,0.024623493069251233,0.10987027486165364,0.00400040010681805,"{'lr_all': 0.034038777477845686, 'n_epochs': 200, 'n_factors': 736, 'reg_all': 0.08637969752579427, 'reg_bi': 0, 'reg_bu': 0}",0.034038777477845686,200,736,0.08637969752579427,0,0
0.7238706420301223,0.7152789118729594,0.7199840984886693,0.719711217463917,0.0035128625377439993,350,3.7385969956715903,0.019969784894380636,0.09952457745869954,0.00042426648489299595,"{'lr_all': 0.02641398011773649, 'n_epochs': 200, 'n_factors': 169, 'reg_all': 0.11786777748815885, 'reg_bi': 0, 'reg_bu': 0}",0.02641398011773649,200,169,0.11786777748815885,0,0
0.7240025650917065,0.7183374515743465,0.7192917111627661,0.7205439092762731,0.0024764730132113793,420,1.4988303184509277,0.01941364055656639,0.10938096046447754,0.011521592260240845,"{'lr_all': 0.03195055863335508, 'n_epochs': 200, 'n_factors': 34, 'reg_all': 0.08981135064770274, 'reg_bi': 0, 'reg_bu': 0}",0.03195055863335508,200,34,0.08981135064770274,0,0
0.7288010090242699,0.7222183660563795,0.729757603801389,0.7269256596273461,0.0033513905536210822,713,2.0746291478474936,0.04273138659975146,0.10082062085469563,0.008324353593984939,"{'lr_all': 0.017122706565465814, 'n_epochs': 200, 'n_factors': 65, 'reg_all': 0.2576566066800681, 'reg_bi': 0, 'reg_bu': 0}",0.017122706565465814,200,65,0.2576566066800681,0,0
