split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_biased,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
3.8189665870629876,3.919505607051841,3.9004416940460978,3.951177956894136,3.897522961263766,0.04884085943287226,836,0.9660981893539429,0.03631402317817251,0.05028659105300903,0.008206922783064036,"{'n_factors': 12, 'n_epochs': 250, 'biased': False, 'lr_all': 5.623413251903491e-05, 'reg_all': 0.5623413251903491, 'reg_bu': 0, 'reg_bi': 0}",12,250,False,5.623413251903491e-05,0.5623413251903491,0,0
1.1133778053785823,1.2226642130882446,1.251876730760049,1.2627297129746375,1.2126621155503785,0.05916495280004582,426,3.2525817155838013,0.024237336915437512,0.05168396234512329,0.0014002462735735563,"{'n_factors': 114, 'n_epochs': 300, 'biased': False, 'lr_all': 0.0005623413251903491, 'reg_all': 0.0005623413251903491, 'reg_bu': 0, 'reg_bi': 0}",114,300,False,0.0005623413251903491,0.0005623413251903491,0,0
1.352918725132854,1.3886188171863358,1.3827961218058311,1.3601391822870705,1.3711182116030227,0.014953303773630904,476,0.8674135804176331,0.010884323650258496,0.05183380842208862,0.002032739099945972,"{'n_factors': 31, 'n_epochs': 150, 'biased': True, 'lr_all': 0.00031622776601683794, 'reg_all': 0.001, 'reg_bu': 0, 'reg_bi': 0}",31,150,True,0.00031622776601683794,0.001,0,0
0.8757185510044843,0.9164724909885696,0.9236573619742049,0.923969730837069,0.9099545337010819,0.019992370618854383,253,0.9805230498313904,0.01580053551899683,0.048568546772003174,0.00507174079788056,"{'n_factors': 18, 'n_epochs': 200, 'biased': False, 'lr_all': 0.1, 'reg_all': 1.778279410038923e-05, 'reg_bu': 0, 'reg_bi': 0}",18,200,False,0.1,1.778279410038923e-05,0,0
7.492966608358885,7.416447940175539,7.413669598509553,7.369541412907964,7.4231563899879855,0.04439322827787286,997,1.3889192938804626,0.015617165910958877,0.07670623064041138,0.011509516096778622,"{'n_factors': 147, 'n_epochs': 100, 'biased': True, 'lr_all': 0.5623413251903491, 'reg_all': 0.00017782794100389227, 'reg_bu': 0, 'reg_bi': 0}",147,100,True,0.5623413251903491,0.00017782794100389227,0,0
0.8617550758043768,0.8965293475120648,0.9037518954526016,0.8569066324645782,0.8797357378084054,0.02063536655703263,217,0.24820226430892944,0.0036158745769705783,0.064724862575531,0.009117893213273711,"{'n_factors': 15, 'n_epochs': 50, 'biased': True, 'lr_all': 0.01, 'reg_all': 0.5623413251903491, 'reg_bu': 0, 'reg_bi': 0}",15,50,True,0.01,0.5623413251903491,0,0
0.7327931357833085,0.7529118392384203,0.756778621692726,0.7359820952410597,0.7446164229888786,0.01038116978075184,44,1.5534414649009705,0.01101177077963178,0.05975997447967529,0.0014750363309200126,"{'n_factors': 52, 'n_epochs': 200, 'biased': True, 'lr_all': 0.01778279410038923, 'reg_all': 0.03162277660168379, 'reg_bu': 0, 'reg_bi': 0}",52,200,True,0.01778279410038923,0.03162277660168379,0,0
2.392982005278893,2.431625027383081,2.409815053511286,2.426486070987635,2.4152270392902238,0.015164027635274665,648,1.8042467832565308,0.008298242443634597,0.11375981569290161,0.008601953071254522,"{'n_factors': 116, 'n_epochs': 150, 'biased': True, 'lr_all': 1e-05, 'reg_all': 0.0017782794100389228, 'reg_bu': 0, 'reg_bi': 0}",116,150,True,1e-05,0.0017782794100389228,0,0
0.8208313637129061,0.8396202547238873,0.8547875120987405,0.8237448132462281,0.8347459859454405,0.013602056639622433,156,1.0780977010726929,0.031146831113075583,0.09094738960266113,0.021074551271826145,"{'n_factors': 14, 'n_epochs': 200, 'biased': True, 'lr_all': 0.0031622776601683794, 'reg_all': 5.623413251903491e-05, 'reg_bu': 0, 'reg_bi': 0}",14,200,True,0.0031622776601683794,5.623413251903491e-05,0,0
0.9628172993663704,1.0009438988364796,0.998708759746746,0.9580982184532506,0.9801420441007117,0.01977066715878877,312,2.256959617137909,0.024751922542990277,0.06534469127655029,0.00559516366759333,"{'n_factors': 87, 'n_epochs': 200, 'biased': True, 'lr_all': 0.001, 'reg_all': 0.5623413251903491, 'reg_bu': 0, 'reg_bi': 0}",87,200,True,0.001,0.5623413251903491,0,0
3.4748232498178195,3.629999030401287,3.511263202454647,3.5469714453138184,3.540764231996893,0.057488917667294845,685,3.5531821250915527,0.06393149752393922,0.06265085935592651,0.010863193838648968,"{'n_factors': 133, 'n_epochs': 250, 'biased': False, 'lr_all': 0.0001, 'reg_all': 0.0031622776601683794, 'reg_bu': 0, 'reg_bi': 0}",133,250,False,0.0001,0.0031622776601683794,0,0
1.1506421154189677,1.1997744448772778,1.1887781892390878,1.1632843676650706,1.175619779300101,0.01957445844993032,413,2.2453802824020386,0.023170204533236538,0.06163448095321655,0.0028978910828178148,"{'n_factors': 62, 'n_epochs': 250, 'biased': True, 'lr_all': 0.00031622776601683794, 'reg_all': 0.01778279410038923, 'reg_bu': 0, 'reg_bi': 0}",62,250,True,0.00031622776601683794,0.01778279410038923,0,0
3.462860650925356,3.659496945560421,3.65097073721405,3.688492806786924,3.6154552851216875,0.0891916716235851,687,2.051798403263092,0.014861408900693492,0.056907713413238525,0.0035055686096599967,"{'n_factors': 34, 'n_epochs': 300, 'biased': False, 'lr_all': 0.0001, 'reg_all': 0.0031622776601683794, 'reg_bu': 0, 'reg_bi': 0}",34,300,False,0.0001,0.0031622776601683794,0,0
