split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi,param_lr_bu,param_lr_bi,param_reg_pu,param_reg_qi,param_lr_pu,param_lr_qi
1.159151755618631,1.111562951355238,1.1109576205647418,1.1321403302999802,1.1284531644596478,0.019668325081024788,497,1.6449729800224304,0.026371536143153202,0.07547116279602051,0.005247677265513784,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.019, 'reg_qi': 0.009000000000000001, 'lr_pu': 0.035, 'lr_qi': 0.0}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.019,0.009000000000000001,0.035,0.0
0.7086674291894981,0.6931367968725585,0.6952956768117375,0.6763918162794758,0.6933729297883174,0.011467700759119685,469,1.665814220905304,0.04435960813010592,0.07842248678207397,0.012249643563138523,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.0, 'reg_qi': 0.032, 'lr_pu': 0.023, 'lr_qi': 0.045}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.0,0.032,0.023,0.045
0.6939858488566556,0.6836557515106696,0.6780674002495956,0.6630112020495269,0.679680050666612,0.011190545279861231,285,1.64044851064682,0.03777549602384657,0.08516925573348999,0.031903930341770484,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.04, 'reg_qi': 0.031, 'lr_pu': 0.03, 'lr_qi': 0.03}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.04,0.031,0.03,0.03
0.6982107356446816,0.684109713993343,0.6779069688009008,0.6594671356515915,0.6799236385226293,0.013914709981501565,292,1.6131510734558105,0.03046944109149649,0.07184046506881714,0.007029474645318526,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.041, 'reg_qi': 0.004, 'lr_pu': 0.041, 'lr_qi': 0.007}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.041,0.004,0.041,0.007
0.679541660881277,0.6754055189190209,0.6707809091236969,0.6528251798578301,0.6696383171954562,0.01018974895824393,17,1.619049608707428,0.0988563946624595,0.06824970245361328,0.004053727927692958,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.022, 'reg_qi': 0.031, 'lr_pu': 0.016, 'lr_qi': 0.003}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.022,0.031,0.016,0.003
0.6989319992097739,0.6867470423292286,0.6814323860351359,0.6635516399467946,0.6826657668802333,0.012729082844276571,357,1.6478039622306824,0.06812419236481276,0.06969976425170898,0.005943547166332977,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.024, 'reg_qi': 0.035, 'lr_pu': 0.041, 'lr_qi': 0.041}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.024,0.035,0.041,0.041
0.6835786590531331,0.6783608315482202,0.6728419743908387,0.6534086907704899,0.6720475389406705,0.011411202646874143,60,1.6167314648628235,0.03154739675238747,0.07368046045303345,0.009918160613739213,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.034, 'reg_qi': 0.037, 'lr_pu': 0.046, 'lr_qi': 0.002}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.034,0.037,0.046,0.002
0.6865850360822757,0.6789298618822697,0.6749308701638224,0.6563311276697065,0.6741942239495187,0.011130940529513644,109,1.6294294595718384,0.015498571108937936,0.07419919967651367,0.007974526157568895,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.047, 'reg_qi': 0.021, 'lr_pu': 0.025, 'lr_qi': 0.009000000000000001}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.047,0.021,0.025,0.009000000000000001
0.68686943854434,0.6776843857476074,0.6771747990486631,0.6596555916085668,0.6753460537372944,0.009846206188535156,148,1.6659904718399048,0.07808156981198366,0.07337385416030884,0.006252105538606828,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.039, 'reg_qi': 0.039, 'lr_pu': 0.01, 'lr_qi': 0.044}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.039,0.039,0.01,0.044
0.6928072830312135,0.6867159514321127,0.6809031615678786,0.6709816668859513,0.682852015729289,0.008042707261446534,362,1.6287819743156433,0.05746064951209682,0.07579314708709717,0.009495594222958792,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.00599, 'reg_bi': -0.00036, 'lr_bu': 6e-05, 'lr_bi': 0.02749, 'reg_pu': 0.009000000000000001, 'reg_qi': 0.018000000000000002, 'lr_pu': 0.015, 'lr_qi': 0.038}",1,True,577,0.00263,0.00942,0.00599,-0.00036,6e-05,0.02749,0.009000000000000001,0.018000000000000002,0.015,0.038
