split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_biased,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
7.4301060211588785,7.417221254474976,7.422546024732161,7.423291100122005,0.005286502065138214,918,2.126429001490275,0.007159842673300623,0.11277127265930176,0.005149513697064085,"{'n_factors': 77, 'n_epochs': 200, 'biased': True, 'lr_all': 0.6309573444801995, 'reg_all': 0.2511886431509603, 'reg_bu': 0, 'reg_bi': 0}",77,200,True,0.6309573444801995,0.2511886431509603,0,0
1.5632628272166185,1.4942155338519916,1.4315346190910099,1.4963376600532066,0.053798747003415893,438,2.554965337117513,0.014378662133711272,0.09643276532491048,0.004729473248108081,"{'n_factors': 103, 'n_epochs': 200, 'biased': False, 'lr_all': 0.00039810717055349854, 'reg_all': 0.0063095734448019684, 'reg_bu': 0, 'reg_bi': 0}",103,200,False,0.00039810717055349854,0.0063095734448019684,0,0
0.7746020291799851,0.7624817058697442,0.7543043345781426,0.7637960232092906,0.008338452058153674,35,2.5252411365509033,0.16641145095690782,0.10438696543375652,0.012791807803575516,"{'n_factors': 93, 'n_epochs': 200, 'biased': False, 'lr_all': 0.01584893192461124, 'reg_all': 0.2511886431509603, 'reg_bu': 0, 'reg_bi': 0}",93,200,False,0.01584893192461124,0.2511886431509603,0,0
0.8641017297953664,0.837173694783512,0.8232930013232931,0.8415228086340573,0.01694154997514698,107,3.2459421952565513,0.014113764964722414,0.1175096829732259,0.003148895367528256,"{'n_factors': 125, 'n_epochs': 200, 'biased': True, 'lr_all': 0.10000000000000082, 'reg_all': 0.00039810717055349854, 'reg_bu': 0, 'reg_bi': 0}",125,200,True,0.10000000000000082,0.00039810717055349854,0,0
1.5297861347425052,1.5330661224458468,1.4412499157777439,1.5013673909886986,0.04253055920267481,440,2.11228076616923,0.014557316852969942,0.09373108545939128,0.0011604683413105102,"{'n_factors': 57, 'n_epochs': 200, 'biased': False, 'lr_all': 0.00039810717055349854, 'reg_all': 0.6309573444801995, 'reg_bu': 0, 'reg_bi': 0}",57,200,False,0.00039810717055349854,0.6309573444801995,0,0
7.4301060211588785,7.417221254474976,7.422546024732161,7.423291100122005,0.005286502065138214,920,2.147991339365641,0.05499821074945948,0.11666337649027507,0.0052070319809389655,"{'n_factors': 61, 'n_epochs': 200, 'biased': True, 'lr_all': 0.6309573444801995, 'reg_all': 0.2511886431509603, 'reg_bu': 0, 'reg_bi': 0}",61,200,True,0.6309573444801995,0.2511886431509603,0,0
1.0711703156107137,1.1097062398527544,1.0509425646745727,1.0772730400460135,0.024375189766941533,304,3.293311436971029,0.015047894726350373,0.11036133766174316,0.002866537104979241,"{'n_factors': 127, 'n_epochs': 200, 'biased': False, 'lr_all': 0.01584893192461124, 'reg_all': 0.0025118864315095924, 'reg_bu': 0, 'reg_bi': 0}",127,200,False,0.01584893192461124,0.0025118864315095924,0,0
1.1145749543672965,1.1025426789246746,1.0780833901137183,1.0984003411352299,0.015182836520001837,318,4.019607226053874,0.0038613637436930733,0.11805931727091472,0.003787433638092727,"{'n_factors': 165, 'n_epochs': 200, 'biased': True, 'lr_all': 0.0025118864315095924, 'reg_all': 6.309573444801943e-05, 'reg_bu': 0, 'reg_bi': 0}",165,200,True,0.0025118864315095924,6.309573444801943e-05,0,0
2.005091854018689,2.027657325956429,1.9776052971436582,2.003451492372925,0.02046654973064226,535,1.6624046166737874,0.02445718896651423,0.11273868878682454,0.0045940545676669995,"{'n_factors': 35, 'n_epochs': 200, 'biased': True, 'lr_all': 6.309573444801943e-05, 'reg_all': 6.309573444801943e-05, 'reg_bu': 0, 'reg_bi': 0}",35,200,True,6.309573444801943e-05,6.309573444801943e-05,0,0
0.9907024654797816,0.9883895207561246,0.9623285449714551,0.9804735104024539,0.012865127443150983,233,1.6549370288848877,0.006638652435283912,0.0992894967397054,0.00880223508234437,"{'n_factors': 39, 'n_epochs': 200, 'biased': False, 'lr_all': 0.0063095734448019684, 'reg_all': 0.6309573444801995, 'reg_bu': 0, 'reg_bi': 0}",39,200,False,0.0063095734448019684,0.6309573444801995,0,0
0.7760567414244206,0.7655024366650851,0.7678559470030573,0.769805041697521,0.0045238305917458185,43,2.337880293528239,0.025565997363477918,0.12388245264689128,0.006173637267157548,"{'n_factors': 71, 'n_epochs': 200, 'biased': True, 'lr_all': 0.01584893192461124, 'reg_all': 0.03981071705535002, 'reg_bu': 0, 'reg_bi': 0}",71,200,True,0.01584893192461124,0.03981071705535002,0,0
1.131141205383489,1.153600549312978,1.126162045759228,1.1369679334852316,0.011935407815850958,335,5.087490797042847,0.003705372302084871,0.12613526980082193,0.0046446384621323476,"{'n_factors': 203, 'n_epochs': 200, 'biased': True, 'lr_all': 0.0025118864315095924, 'reg_all': 2.5118864315095822e-05, 'reg_bu': 0, 'reg_bi': 0}",203,200,True,0.0025118864315095924,2.5118864315095822e-05,0,0
1.6042760463608146,1.620456850735616,1.5830326005220126,1.6025884992061477,0.015324914084849301,460,1.53030260403951,0.12613300707797737,0.13133931159973145,0.01514867614827078,"{'n_factors': 23, 'n_epochs': 200, 'biased': True, 'lr_all': 0.00015848931924611174, 'reg_all': 0.2511886431509603, 'reg_bu': 0, 'reg_bi': 0}",23,200,True,0.00015848931924611174,0.2511886431509603,0,0
