split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_bi,param_reg_bu,param_reg_pu,param_reg_qi,param_reg_yj
0.7931349166085161,0.8200090447265188,0.824744091052759,0.8047506937744955,0.8106596865405723,0.012528115437218405,296,0.972167432308197,0.007930864101925178,0.0728197693824768,0.012077040284794706,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': -0.017057100961277882, 'reg_bu': 0.15428281028611, 'reg_pu': 0.4239677245115667, 'reg_qi': 0.5213376644245536, 'reg_yj': 0.5633974437588423}",True,0.0025,350,1,-0.017057100961277882,0.15428281028611,0.4239677245115667,0.5213376644245536,0.5633974437588423
0.7525014408395961,0.7660124444992091,0.7662172230185061,0.738236180085483,0.7557418221106986,0.011534375599959627,184,1.0303561091423035,0.0785576553755255,0.07837629318237305,0.007684617873508648,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.16937583881966395, 'reg_bu': 0.4202760610465009, 'reg_pu': 0.03969236577294216, 'reg_qi': 0.0964799608613546, 'reg_yj': 0.5076539246352194}",True,0.0025,350,1,0.16937583881966395,0.4202760610465009,0.03969236577294216,0.0964799608613546,0.5076539246352194
2.2072753711454123,7.427598238296226,7.4376261504270245,7.384291246753231,6.114197751655474,2.2557517338241833,386,1.0626100301742554,0.10585993692106149,0.08150589466094971,0.0058524347690914105,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.7612025787866459, 'reg_bu': 0.16988474382031016, 'reg_pu': 0.5591483674676727, 'reg_qi': -0.10116354948389658, 'reg_yj': 0.5997251582375638}",True,0.0025,350,1,0.7612025787866459,0.16988474382031016,0.5591483674676727,-0.10116354948389658,0.5997251582375638
0.709767338078112,0.738957069263742,0.7413843212896204,0.7118046784121572,0.7254783517609078,0.014735000729206573,96,1.0782657861709595,0.0935042115335911,0.0757327675819397,0.0026623789243524617,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.3074366287196151, 'reg_bu': -0.14367327410575076, 'reg_pu': 0.07920015156546065, 'reg_qi': 0.0986554901618478, 'reg_yj': 0.39633009810893416}",True,0.0025,350,1,0.3074366287196151,-0.14367327410575076,0.07920015156546065,0.0986554901618478,0.39633009810893416
7.443505362190654,7.427598238296226,7.4376261504270245,7.384291246753231,7.423255249416784,0.023203690003816713,420,0.9973568916320801,0.008014449868614533,0.08625781536102295,0.009946173856191318,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.5088934919493002, 'reg_bu': 0.08369239201555265, 'reg_pu': 0.640062609623446, 'reg_qi': -0.16106076626537874, 'reg_yj': 0.3664160210199823}",True,0.0025,350,1,0.5088934919493002,0.08369239201555265,0.640062609623446,-0.16106076626537874,0.3664160210199823
0.998026808583237,1.0578123967208755,0.9711847751399683,1.2523200021877121,1.0698359956579482,0.1099245220919478,358,1.0124937891960144,0.03363976971062011,0.08166378736495972,0.008828402528740809,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.6581432287969697, 'reg_bu': -0.051978130220729724, 'reg_pu': 0.4614539634690302, 'reg_qi': -0.07225596294167463, 'reg_yj': 0.4882336855428768}",True,0.0025,350,1,0.6581432287969697,-0.051978130220729724,0.4614539634690302,-0.07225596294167463,0.4882336855428768
0.6881618065722493,0.7026856556743154,0.6933885337174215,0.6838254645239237,0.6920153651219776,0.007029670649557674,13,1.0566986203193665,0.06115509998040739,0.08861386775970459,0.012514511504517161,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.7132262134084792, 'reg_bu': -0.019018757973220057, 'reg_pu': 0.2932572823998394, 'reg_qi': 0.023275030485788176, 'reg_yj': 0.8762527334726373}",True,0.0025,350,1,0.7132262134084792,-0.019018757973220057,0.2932572823998394,0.023275030485788176,0.8762527334726373
0.76749661597419,0.7912664794097153,0.7866952516032781,0.7752638424619483,0.780180547362283,0.009359425239334283,235,1.026452660560608,0.027589883866357315,0.07624161243438721,0.00883999204737541,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.6871926187317119, 'reg_bu': 0.285929831419393, 'reg_pu': 0.6871050733743022, 'reg_qi': 0.18368968401381636, 'reg_yj': 0.6571932072973485}",True,0.0025,350,1,0.6871926187317119,0.285929831419393,0.6871050733743022,0.18368968401381636,0.6571932072973485
0.7819420519373886,0.7974606565122081,0.8107264111151737,0.7565582364366616,0.786671839000358,0.020150812439925135,252,0.9887884259223938,0.046936584588051146,0.06836271286010742,0.0076756506960171675,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.14754962273813266, 'reg_bu': 0.6663630571319332, 'reg_pu': -0.002415087645922326, 'reg_qi': 0.3287783404007297, 'reg_yj': 0.60922803450568}",True,0.0025,350,1,0.14754962273813266,0.6663630571319332,-0.002415087645922326,0.3287783404007297,0.60922803450568
0.7394861916237588,0.7470333263259293,0.7405812394159645,0.7349048778232973,0.7405014087972376,0.004330823951077795,139,1.0205798149108887,0.030200594781985966,0.0827479362487793,0.01109497288807374,"{'cache_ratings': True, 'lr_all': 0.0025, 'n_epochs': 350, 'n_factors': 1, 'reg_bi': 0.5745134200887174, 'reg_bu': 0.33435283541645433, 'reg_pu': 0.17221935450914086, 'reg_qi': 0.08588698515344861, 'reg_yj': 0.15708717897638014}",True,0.0025,350,1,0.5745134200887174,0.33435283541645433,0.17221935450914086,0.08588698515344861,0.15708717897638014
