split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.6999765869200488,0.6848171327129778,0.6787559876923501,0.6741780264375583,0.6880165164950159,0.6851488500515902,0.008825225071102965,135,3.055434513092041,0.07611233040673769,0.0589451789855957,0.008618597353261223,"{'cache_ratings': True, 'lr_all': 0.013237745287613503, 'n_epochs': 200, 'n_factors': 37, 'reg_all': 0.14125496258131814, 'reg_bi': 0, 'reg_bu': 0}",True,0.013237745287613503,200,37,0.14125496258131814,0,0
0.6994198895133589,0.6891149316687001,0.6801295017305214,0.6745369070325239,0.6887959429421314,0.6863994345774471,0.00851681913852506,362,2.774921989440918,0.11071791561253794,0.06485114097595215,0.0071217775082651966,"{'cache_ratings': True, 'lr_all': 0.014671749889402426, 'n_epochs': 200, 'n_factors': 33, 'reg_all': 0.13998948117951243, 'reg_bi': 0, 'reg_bu': 0}",True,0.014671749889402426,200,33,0.13998948117951243,0,0
0.6988545665435286,0.6854446360038657,0.6779692151566217,0.6782946158617827,0.6885770891318687,0.6858280245395334,0.007692961337572351,285,2.1494279384613035,0.07091118187168569,0.05659708976745605,0.009314095106183036,"{'cache_ratings': True, 'lr_all': 0.01783645732534002, 'n_epochs': 200, 'n_factors': 25, 'reg_all': 0.14904700940973029, 'reg_bi': 0, 'reg_bu': 0}",True,0.01783645732534002,200,25,0.14904700940973029,0,0
0.6979670851788475,0.6844744261796445,0.6782957467030489,0.671648780662088,0.6893623529073533,0.6843496783261964,0.009039238103358549,35,2.0436176300048827,0.08178954487064934,0.055849456787109376,0.004945473792150217,"{'cache_ratings': True, 'lr_all': 0.015998613297459024, 'n_epochs': 200, 'n_factors': 21, 'reg_all': 0.1371752643274879, 'reg_bi': 0, 'reg_bu': 0}",True,0.015998613297459024,200,21,0.1371752643274879,0,0
0.7009988380005328,0.6839933336179325,0.6760135423280983,0.6756943155629355,0.6881536857395457,0.6849707430498089,0.009319547551263673,104,2.0189810276031492,0.057357416236620766,0.05894403457641602,0.00530112934431928,"{'cache_ratings': True, 'lr_all': 0.014327486920822353, 'n_epochs': 200, 'n_factors': 21, 'reg_all': 0.15097638832233856, 'reg_bi': 0, 'reg_bu': 0}",True,0.014327486920822353,200,21,0.15097638832233856,0,0
0.6986912579543247,0.6852436865526902,0.6786492711439304,0.6751488389486824,0.6905170961716819,0.6856500301542618,0.008404911810726789,248,2.266275405883789,0.05663870705440504,0.06651711463928223,0.022693380386419007,"{'cache_ratings': True, 'lr_all': 0.01279914713069499, 'n_epochs': 200, 'n_factors': 26, 'reg_all': 0.13275791777533014, 'reg_bi': 0, 'reg_bu': 0}",True,0.01279914713069499,200,26,0.13275791777533014,0,0
0.6977957179785379,0.684042189731836,0.6796779140763654,0.6770935719402127,0.6887958816499915,0.6854810550753887,0.007331243413121363,212,1.6860061645507813,0.02786172339381969,0.05702047348022461,0.008330044801578371,"{'cache_ratings': True, 'lr_all': 0.013000084976675808, 'n_epochs': 200, 'n_factors': 18, 'reg_all': 0.15395491881496623, 'reg_bi': 0, 'reg_bu': 0}",True,0.013000084976675808,200,18,0.15395491881496623,0,0
0.7002830118001924,0.6840394571197782,0.675586958191463,0.6764411324980403,0.6868446462222082,0.6846390411663364,0.008934247865400202,67,2.1927743911743165,0.07121137536831249,0.06025543212890625,0.006864239748580144,"{'cache_ratings': True, 'lr_all': 0.013827167750044202, 'n_epochs': 200, 'n_factors': 25, 'reg_all': 0.13932326247716686, 'reg_bi': 0, 'reg_bu': 0}",True,0.013827167750044202,200,25,0.13932326247716686,0,0
0.6985151267274504,0.6867437873585596,0.6789926501667496,0.6747202304189609,0.6896800995586295,0.68573037884607,0.008327033385954195,259,2.274927186965942,0.02616147843542914,0.06469221115112304,0.013424583592864513,"{'cache_ratings': True, 'lr_all': 0.017134588712753168, 'n_epochs': 200, 'n_factors': 26, 'reg_all': 0.14436396389900719, 'reg_bi': 0, 'reg_bu': 0}",True,0.017134588712753168,200,26,0.14436396389900719,0,0
0.7007655135895218,0.6840402811339164,0.678574634788,0.6772857495473138,0.6883974570138216,0.6858127272145148,0.008467674341073395,281,2.1589636325836183,0.018732122458797906,0.06440753936767578,0.00404010536449799,"{'cache_ratings': True, 'lr_all': 0.015440012564108986, 'n_epochs': 200, 'n_factors': 25, 'reg_all': 0.15337152281549926, 'reg_bi': 0, 'reg_bu': 0}",True,0.015440012564108986,200,25,0.15337152281549926,0,0
0.7010752167591495,0.6863370273023229,0.6780340745587252,0.6735228609890997,0.6863686591680922,0.685067567755478,0.009405312051178605,118,2.097026538848877,0.07870009598685125,0.05789580345153809,0.006093685333736592,"{'cache_ratings': True, 'lr_all': 0.01415998259923978, 'n_epochs': 200, 'n_factors': 22, 'reg_all': 0.14802907310406335, 'reg_bi': 0, 'reg_bu': 0}",True,0.01415998259923978,200,22,0.14802907310406335,0,0
0.7005544715744044,0.6853297869898122,0.6797770164358632,0.676769364204486,0.6888397627516094,0.6862540803912351,0.008294015410854874,346,2.8765862941741944,0.047990165428922864,0.05852837562561035,0.006232007995615138,"{'cache_ratings': True, 'lr_all': 0.015429493460719498, 'n_epochs': 200, 'n_factors': 34, 'reg_all': 0.1442694198029061, 'reg_bi': 0, 'reg_bu': 0}",True,0.015429493460719498,200,34,0.1442694198029061,0,0
