split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_bi,param_lr_bu,param_lr_pu,param_lr_qi,param_lr_yj,param_n_epochs,param_n_factors,param_reg_bi,param_reg_bu,param_reg_pu,param_reg_qi,param_reg_yj
0.6617727647553481,0.6868649705666036,0.6819303927510424,0.6768560426909981,0.010854076638679903,112,5.562388261159261,0.10583526845617479,0.13002959887186685,0.004664439184020301,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00026658815561688895, 'reg_bu': 0.0008276764866520622, 'reg_pu': 3.553122308427454e-05, 'reg_qi': 0.002815537590304274, 'reg_yj': 0.00019121407128669442}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00026658815561688895,0.0008276764866520622,3.553122308427454e-05,0.002815537590304274,0.00019121407128669442
0.6627311310995531,0.6860340641200724,0.6824783901243956,0.6770811951146737,0.010250331939972414,206,5.484619935353597,0.2036568342233292,0.13647961616516113,0.007261438150736845,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027787564382913185, 'reg_bu': 0.0016908792006986731, 'reg_pu': 1.6166558178174892e-05, 'reg_qi': 0.0022405272571150788, 'reg_yj': 0.00017315209664846659}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00027787564382913185,0.0016908792006986731,1.6166558178174892e-05,0.0022405272571150788,0.00017315209664846659
0.6619502679316466,0.6858986055354764,0.6825445950031028,0.6767978228234086,0.010587721232973392,94,5.6121625900268555,0.0994182455961227,0.11310537656148274,0.0137488877784558,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00025929419859074533, 'reg_bu': 0.001983927830847767, 'reg_pu': 2.2266219578335457e-05, 'reg_qi': 0.0037670987310148858, 'reg_yj': 0.00017975751563994226}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00025929419859074533,0.001983927830847767,2.2266219578335457e-05,0.0037670987310148858,0.00017975751563994226
0.6626927544378926,0.6870360107358342,0.6821870312146621,0.6773052654627962,0.010520527852374655,309,5.507373094558716,0.06097221939382563,0.124908447265625,0.011719715636628002,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.0003225443542087037, 'reg_bu': 0.0011420310445462312, 'reg_pu': 5.3313806433687904e-05, 'reg_qi': 0.002565727813948843, 'reg_yj': 0.00014610866785325603}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.0003225443542087037,0.0011420310445462312,5.3313806433687904e-05,0.002565727813948843,0.00014610866785325603
0.6623163145693197,0.6872676242462492,0.9938383542717415,0.7811407643624367,0.15074446485928555,493,5.482798099517822,0.06940406853244971,0.13667996724446616,0.014340404284860282,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00033339068818738363, 'reg_bu': 0.0017755710168189521, 'reg_pu': 2.25353546621675e-05, 'reg_qi': 0.0016777871065008373, 'reg_yj': 0.00016456844437067502}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00033339068818738363,0.0017755710168189521,2.25353546621675e-05,0.0016777871065008373,0.00016456844437067502
0.6635205668082087,0.6852834128486616,0.6826169280212202,0.6771403025593635,0.009691936056406437,234,5.566208600997925,0.290810353566041,0.1106405258178711,0.021835403270746193,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00026244793389180055, 'reg_bu': 0.0018429039329894118, 'reg_pu': 2.7269547071599087e-05, 'reg_qi': 0.0025263003114406315, 'reg_yj': 0.00019279461494670162}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00026244793389180055,0.0018429039329894118,2.7269547071599087e-05,0.0025263003114406315,0.00019279461494670162
0.6630299791241702,0.685237513705072,0.6830194978266244,0.6770956635519555,0.009987075228373728,216,5.6610666910807295,0.03576895109793224,0.1377263069152832,0.007425965383175844,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -8.262558823523343e-05, 'reg_bu': 0.002920222876217413, 'reg_pu': 1.8426627567646405e-05, 'reg_qi': 0.0033283271799868573, 'reg_yj': 0.00019521217360480452}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-8.262558823523343e-05,0.002920222876217413,1.8426627567646405e-05,0.0033283271799868573,0.00019521217360480452
0.6622894754835539,0.6871151198099755,0.6822904905704597,0.6772316952879963,0.010747766010909819,279,5.417388995488484,0.11650658527673259,0.12982463836669922,0.009373084746367886,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00022933050231517462, 'reg_bu': 0.002370583630803559, 'reg_pu': 2.072629692112093e-05, 'reg_qi': 0.0027113316911589725, 'reg_yj': 0.00019232938914167514}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00022933050231517462,0.002370583630803559,2.072629692112093e-05,0.0027113316911589725,0.00019232938914167514
0.6627463110748305,0.6886679786798431,0.6829020377606958,0.6781054425051232,0.011112716661270736,461,5.353073438008626,0.18273144792728035,0.12916008631388345,0.008223252388441297,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00021739179957573827, 'reg_bu': 0.0014467588610691667, 'reg_pu': 2.900179008493817e-05, 'reg_qi': 0.0027448180230895173, 'reg_yj': 0.00018732834138122437}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00021739179957573827,0.0014467588610691667,2.900179008493817e-05,0.0027448180230895173,0.00018732834138122437
0.6631866461086163,0.6858348819800131,0.6824542900686832,0.6771586060524375,0.00997559852578766,246,5.609887440999349,0.1811434933491441,0.12891467412312826,0.007783573012656686,"{'cache_ratings': True, 'lr_bi': 0.0083528, 'lr_bu': 2.5e-05, 'lr_pu': 0.00229248, 'lr_qi': 0.00069888, 'lr_yj': 0.00121347, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00019886411226735105, 'reg_bu': 0.0008808439545780374, 'reg_pu': 1.7156096016813972e-05, 'reg_qi': 0.0035706280202883814, 'reg_yj': 0.00022379017935878536}",True,0.0083528,2.5e-05,0.00229248,0.00069888,0.00121347,914,1,-0.00019886411226735105,0.0008808439545780374,1.7156096016813972e-05,0.0035706280202883814,0.00022379017935878536
