split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.6915434306616378,0.6927026248256636,0.9919694894631322,0.7920718483168113,0.14134976980213534,452,0.38535459836324054,0.009834113059515544,0.09229731559753418,0.008187202936053671,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.001, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.001,0,0
0.6923386447899144,0.6924307746434077,0.6817918168305387,0.688853745421287,0.004993679241007026,92,0.37957000732421875,0.007753179294787615,0.08603111902872722,0.0023428006274671,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.002, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.002,0,0
0.6916614906780626,0.6930727211336288,0.6783166268380707,0.6876836128832541,0.006648469173560382,79,0.3845983346303304,0.037199924593143495,0.09016839663187663,0.009439970291442555,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.003, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.003,0,0
0.6925473859114555,0.6927500312088136,0.6784915662035642,0.6879296611079444,0.0066742536585100085,83,0.4911049207051595,0.024193315372583152,0.2816179593404134,0.06951429264331206,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.004, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.004,0,0
0.6915536464120651,0.692485055536088,0.6779318398614979,0.6873235139365503,0.006651793602134059,75,0.6836489041646322,0.08876333308505732,0.21516124407450357,0.08521620651120485,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.005, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.005,0,0
0.6908969035641168,0.6924171737690257,0.6781430350160264,0.6871523707830564,0.006400724104677374,71,0.5890704790751139,0.10628208103820493,0.15427867571512857,0.015959389998666296,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.006, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.006,0,0
0.6904911505009308,0.6918942459561263,0.6769018105361082,0.6864290689977217,0.006761097522339979,58,0.41378196080525714,0.01907663248790668,0.1430976390838623,0.01154919109033968,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.007, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.007,0,0
0.6905621803827491,0.6921325250203515,0.6767255287362367,0.6864734113797791,0.006922543251070755,59,0.4302813212076823,0.018200606457438016,0.11926571528116862,0.022415424642368006,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.008, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.008,0,0
0.6900723003631621,0.6919802058194926,0.6765769113103749,0.6862098058310099,0.006855874291040906,53,0.33601196606953937,0.01995472926315116,0.09769558906555176,0.010201473224699113,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.009000000000000001, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.009000000000000001,0,0
0.6901674146054446,0.7272664555341602,0.6766591575331471,0.6980310092242507,0.021395509544255994,152,0.31113266944885254,0.0011784554048775747,0.10238838195800781,0.01994273403736556,"{'n_factors': 1, 'n_epochs': 72, 'lr_all': 0.033, 'reg_all': 0.010000000000000002, 'reg_bu': 0, 'reg_bi': 0}",1,72,0.033,0.010000000000000002,0,0
