split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.7030219594379958,0.7160001708635918,0.7239963890459068,0.7143395064491648,0.00864291729557835,850,1.156551440556844,0.0542764294089811,0.09699138005574544,0.0024686667392858574,"{'lr_all': 0.014473485714576417, 'n_epochs': 200, 'n_factors': 28, 'reg_all': 0.1396287050261042, 'reg_bi': 0, 'reg_bu': 0}",0.014473485714576417,200,28,0.1396287050261042,0,0
0.7016364276066587,0.7161507567039732,0.722804068942353,0.713530417750995,0.008838057558103312,740,0.9999565283457438,0.016687574663312253,0.09449307123819987,0.004863974778739987,"{'lr_all': 0.023362325835900245, 'n_epochs': 200, 'n_factors': 9, 'reg_all': 0.16543897146609843, 'reg_bi': 0, 'reg_bu': 0}",0.023362325835900245,200,9,0.16543897146609843,0,0
0.6990674475919093,0.7137397033869007,0.7232458944005407,0.7120176817931169,0.009945630239676359,138,1.1221030553181965,0.015489923948358159,0.09542099634806316,0.0025338485616384888,"{'lr_all': 0.021096998234138298, 'n_epochs': 200, 'n_factors': 15, 'reg_all': 0.1689151197257666, 'reg_bi': 0, 'reg_bu': 0}",0.021096998234138298,200,15,0.1689151197257666,0,0
0.7041534787147027,0.7162326603725394,0.7269190619100888,0.7157684003324437,0.009299806363401128,923,1.3336426417032878,0.008848115019510976,0.10034561157226562,0.0012672815669939413,"{'lr_all': 0.008828576568474076, 'n_epochs': 200, 'n_factors': 28, 'reg_all': 0.18568462265227664, 'reg_bi': 0, 'reg_bu': 0}",0.008828576568474076,200,28,0.18568462265227664,0,0
0.7012224397950828,0.7138825655683936,0.7220494139564881,0.7123848064399881,0.008568281624106536,321,1.8192020257314045,0.02129885437201016,0.09697214762369792,0.00672935065127376,"{'lr_all': 0.023011072341282975, 'n_epochs': 200, 'n_factors': 56, 'reg_all': 0.1583930845800333, 'reg_bi': 0, 'reg_bu': 0}",0.023011072341282975,200,56,0.1583930845800333,0,0
0.7005989208268505,0.7132031572349026,0.7223149077634345,0.7120389952750625,0.008903650073950057,150,1.3790773550669353,0.02197786480123311,0.11209583282470703,0.0210139361201926,"{'lr_all': 0.024016330146681475, 'n_epochs': 200, 'n_factors': 30, 'reg_all': 0.14808019186118937, 'reg_bi': 0, 'reg_bu': 0}",0.024016330146681475,200,30,0.14808019186118937,0,0
0.704768807960841,0.7123002855778776,0.7199120524142059,0.7123270486509748,0.006182232624769842,293,1.0091431935628254,0.006618069031962568,0.09442814191182454,0.0024773327832791634,"{'lr_all': 0.02039910511763715, 'n_epochs': 200, 'n_factors': 6, 'reg_all': 0.18686579189655364, 'reg_bi': 0, 'reg_bu': 0}",0.02039910511763715,200,6,0.18686579189655364,0,0
0.6996726240540784,0.7137321158558709,0.7208698448418491,0.7114248615839328,0.008806176203396783,24,1.0096329053243,0.01158847180206794,0.1018073558807373,0.009359902392548617,"{'lr_all': 0.016123545573834837, 'n_epochs': 200, 'n_factors': 6, 'reg_all': 0.1671067797760499, 'reg_bi': 0, 'reg_bu': 0}",0.016123545573834837,200,6,0.1671067797760499,0,0
0.7019272956578435,0.7153656580480154,0.7180704828291428,0.711787812178334,0.007059337023276248,76,0.9931186040242513,0.0045394265360687745,0.0896304448445638,0.005444110841553973,"{'lr_all': 0.023902386848494418, 'n_epochs': 200, 'n_factors': 5, 'reg_all': 0.1788170719258371, 'reg_bi': 0, 'reg_bu': 0}",0.023902386848494418,200,5,0.1788170719258371,0,0
0.702643953466954,0.7146055842302449,0.7225088431242501,0.7132527936071495,0.008166026864458577,674,1.2093286514282227,0.01350031401217694,0.09260773658752441,0.007062468434123737,"{'lr_all': 0.026302143416499835, 'n_epochs': 200, 'n_factors': 21, 'reg_all': 0.14778596932473204, 'reg_bi': 0, 'reg_bu': 0}",0.026302143416499835,200,21,0.14778596932473204,0,0
0.701076297113489,0.7138153104918038,0.7230702277261903,0.7126539451104943,0.009016459878494766,467,1.9661367734273274,0.022705938454091194,0.0887924035390218,0.0003997528292076647,"{'lr_all': 0.02298813219915144, 'n_epochs': 200, 'n_factors': 69, 'reg_all': 0.17368634678942912, 'reg_bi': 0, 'reg_bu': 0}",0.02298813219915144,200,69,0.17368634678942912,0,0
0.701401638055525,0.7141855609344594,0.721871232796134,0.7124861439287061,0.008442633508204017,383,1.9423979918162029,0.01843754830274583,0.10646120707194011,0.011603769362571245,"{'lr_all': 0.03473837803854638, 'n_epochs': 200, 'n_factors': 70, 'reg_all': 0.16494597045652362, 'reg_bi': 0, 'reg_bu': 0}",0.03473837803854638,200,70,0.16494597045652362,0,0
0.7003222930914981,0.713877474500085,0.7220903522365242,0.7120967066093691,0.008975538997586432,170,1.1911152998606365,0.016779050729597664,0.08721272150675456,0.0011474513364708235,"{'lr_all': 0.022316035085662673, 'n_epochs': 200, 'n_factors': 21, 'reg_all': 0.18141641500613281, 'reg_bi': 0, 'reg_bu': 0}",0.022316035085662673,200,21,0.18141641500613281,0,0
0.7036748293053445,0.7144201629325192,0.7208452180594275,0.7129800700990971,0.007083359043948939,602,1.1489580472310383,0.007403517143561488,0.08581805229187012,0.0010833780285544083,"{'lr_all': 0.02387164074719056, 'n_epochs': 200, 'n_factors': 18, 'reg_all': 0.1495953419480243, 'reg_bi': 0, 'reg_bu': 0}",0.02387164074719056,200,18,0.1495953419480243,0,0
0.7023722132096613,0.7143726251237419,0.7231800686032958,0.713308302312233,0.00852804388692291,687,1.7835537592569988,0.003547825553095108,0.10600566864013672,0.015526538012501919,"{'lr_all': 0.017881204017277122, 'n_epochs': 200, 'n_factors': 57, 'reg_all': 0.16291573441014978, 'reg_bi': 0, 'reg_bu': 0}",0.017881204017277122,200,57,0.16291573441014978,0,0
0.7009528213103181,0.7133374205113304,0.7223297113444529,0.7122066510553671,0.008763630775532,224,1.7945288022359211,0.003573676075353011,0.097015380859375,0.002152632776566422,"{'lr_all': 0.023934925448588152, 'n_epochs': 200, 'n_factors': 57, 'reg_all': 0.1682283784707746, 'reg_bi': 0, 'reg_bu': 0}",0.023934925448588152,200,57,0.1682283784707746,0,0
0.7027337268049518,0.7125534727772461,0.722128670418987,0.7124719566670618,0.007918162375411163,375,1.1222117741902669,0.01392068181629746,0.09826270739237468,0.00930830441405671,"{'lr_all': 0.020935756398479013, 'n_epochs': 200, 'n_factors': 15, 'reg_all': 0.16198595515521652, 'reg_bi': 0, 'reg_bu': 0}",0.020935756398479013,200,15,0.16198595515521652,0,0
0.7111984453887722,0.7223855998638925,0.7255173864430747,0.7197004772319131,0.0061462959518029225,976,1.0764612356821697,0.0038128317867806728,0.09004998207092285,0.000639471727169369,"{'lr_all': 0.02390923756967108, 'n_epochs': 200, 'n_factors': 12, 'reg_all': 0.12736566830029813, 'reg_bi': 0, 'reg_bu': 0}",0.02390923756967108,200,12,0.12736566830029813,0,0
0.7017427164858628,0.7141259574611072,0.7214044835555344,0.7124243858341681,0.008116558407630195,349,1.345039923985799,0.005822191335810894,0.09887440999348958,0.0028040050598668446,"{'lr_all': 0.02975117233995275, 'n_epochs': 200, 'n_factors': 29, 'reg_all': 0.17764485570810204, 'reg_bi': 0, 'reg_bu': 0}",0.02975117233995275,200,29,0.17764485570810204,0,0
0.710866435014404,0.7149568769303575,0.7231796351519709,0.7163343156989108,0.005120333815796226,939,1.0037753582000732,0.012784959807946635,0.10284972190856934,0.014472993931537339,"{'lr_all': 0.013544229350565134, 'n_epochs': 200, 'n_factors': 5, 'reg_all': 0.13285734771975494, 'reg_bi': 0, 'reg_bu': 0}",0.013544229350565134,200,5,0.13285734771975494,0,0
0.7008975070398419,0.7141195788969704,0.7225716467721126,0.7125295775696415,0.008919572540175514,397,1.325291395187378,0.02533347467128945,0.0938721497853597,0.004553998491273642,"{'lr_all': 0.023319358449884846, 'n_epochs': 200, 'n_factors': 26, 'reg_all': 0.126449031638159, 'reg_bi': 0, 'reg_bu': 0}",0.023319358449884846,200,26,0.126449031638159,0,0
1.253771240201261,1.2752802350992283,1.295162109388606,1.2747378615630318,0.01690210321844694,996,2.402330001195272,0.008406022862853569,0.09757121404012044,0.00391256162699372,"{'lr_all': 0.00035103991931029546, 'n_epochs': 200, 'n_factors': 95, 'reg_all': 0.17538042818409194, 'reg_bi': 0, 'reg_bu': 0}",0.00035103991931029546,200,95,0.17538042818409194,0,0
0.7022813796276531,0.7142687748785197,0.7223855412156406,0.7129785652406045,0.00825803887014766,601,1.3808393478393555,0.007877132086691798,0.09187054634094238,0.0007398217509368829,"{'lr_all': 0.028977647330994734, 'n_epochs': 200, 'n_factors': 30, 'reg_all': 0.18504535049586693, 'reg_bi': 0, 'reg_bu': 0}",0.028977647330994734,200,30,0.18504535049586693,0,0
0.7031974875695794,0.7161702425183936,0.724126937121307,0.7144982224030935,0.008625821819168072,867,1.9151922861735027,0.013814002627717047,0.08905426661173503,0.00292301574910392,"{'lr_all': 0.03491565835648967, 'n_epochs': 200, 'n_factors': 63, 'reg_all': 0.19681880004885627, 'reg_bi': 0, 'reg_bu': 0}",0.03491565835648967,200,63,0.19681880004885627,0,0
0.705263795186813,0.7174985852935127,0.7305110180804867,0.7177577995202707,0.010308765201588566,961,2.0582624276479087,0.01770579168323511,0.10131462415059407,0.009221288282989853,"{'lr_all': 0.02443530842556784, 'n_epochs': 200, 'n_factors': 74, 'reg_all': 0.09401058236321948, 'reg_bi': 0, 'reg_bu': 0}",0.02443530842556784,200,74,0.09401058236321948,0,0
7.400402519242349,7.41936611338963,7.45003092408348,7.423266518905154,0.020447567323244598,1000,1.006272792816162,0.004163413699057952,0.09409570693969727,0.0036394747886711876,"{'lr_all': -0.002177769966617383, 'n_epochs': 200, 'n_factors': 8, 'reg_all': 0.16844222911316198, 'reg_bi': 0, 'reg_bu': 0}",-0.002177769966617383,200,8,0.16844222911316198,0,0
0.7003185438649142,0.7148931984789907,0.7229277611124006,0.7127131678187685,0.00935801176873382,505,1.498373031616211,0.027768954494804526,0.10042500495910645,0.007355921346430869,"{'lr_all': 0.024047023592495713, 'n_epochs': 200, 'n_factors': 38, 'reg_all': 0.1549120585250612, 'reg_bi': 0, 'reg_bu': 0}",0.024047023592495713,200,38,0.1549120585250612,0,0
0.7010188637195335,0.7140463259667227,0.7219890471700543,0.7123514122854369,0.008644524192704566,304,1.3687293529510498,0.012495154321713055,0.09454766909281413,0.0032816590606161464,"{'lr_all': 0.03373254409112267, 'n_epochs': 200, 'n_factors': 30, 'reg_all': 0.15491532414894088, 'reg_bi': 0, 'reg_bu': 0}",0.03373254409112267,200,30,0.15491532414894088,0,0
