split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
7.45611066076883,7.3573597940476425,7.42947102948678,7.427997473701679,7.445131395274741,7.423214070655935,0.03452932372813673,1000,15.829049634933472,0.15917604820397868,0.08619480133056641,0.00753534868636326,"{'n_factors': 173, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.10000000000000082, 'reg_all': 0.00015848931924611174, 'reg_bu': 0, 'reg_bi': 0}",173,True,200,0.10000000000000082,0.00015848931924611174,0,0
1.1594062864636414,1.163280879774097,1.16488182885424,1.1541952943923126,1.173555532842355,1.1630639644653293,0.006410251280964062,531,1.8035717964172364,0.06204782554088752,0.06991772651672364,0.008880970183950591,"{'n_factors': 13, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.00015848931924611174, 'reg_all': 1e-05, 'reg_bu': 0, 'reg_bi': 0}",13,True,200,0.00015848931924611174,1e-05,0,0
1.0058932589104723,0.9840098475399998,0.9708517086709584,0.9769366117533743,1.0064524686154201,0.9888287790980449,0.014762192995139893,469,15.323794269561768,0.186394398081434,0.09735579490661621,0.007850145900269275,"{'n_factors': 167, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.00039810717055349854, 'reg_all': 0.0010000000000000041, 'reg_bu': 0, 'reg_bi': 0}",167,True,200,0.00039810717055349854,0.0010000000000000041,0,0
0.791818547930593,0.7853619086219059,0.7649288190391306,0.7998212570516424,0.791532286419474,0.7866925638125492,0.011810947837117237,162,8.218034744262695,0.15922661281204237,0.07813882827758789,0.011404160142461497,"{'n_factors': 87, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.0063095734448019684, 'reg_all': 0.0063095734448019684, 'reg_bu': 0, 'reg_bi': 0}",87,True,200,0.0063095734448019684,0.0063095734448019684,0,0
0.8074384511000694,0.8296236915694789,0.809957984119537,0.8525760544529916,0.802437231357321,0.8204066825198796,0.018547631902180606,208,2.6552172660827638,0.05046355850200896,0.06708745956420899,0.016470192730132525,"{'n_factors': 25, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.0025118864315095924, 'reg_all': 0.00039810717055349854, 'reg_bu': 0, 'reg_bi': 0}",25,True,200,0.0025118864315095924,0.00039810717055349854,0,0
0.836768562276642,0.8148231624799257,0.8202151386382937,0.8398337123974474,0.8516072274840855,0.8326495606552788,0.01341914054629469,248,1.7205924034118651,0.12239154512480334,0.07196383476257324,0.013214177329608057,"{'n_factors': 13, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.00039810717055349854, 'reg_all': 0.0025118864315095924, 'reg_bu': 0, 'reg_bi': 0}",13,True,200,0.00039810717055349854,0.0025118864315095924,0,0
2.211666731030866,2.2086424568321625,2.1580579779691735,2.190357160942601,2.1988433537566188,2.1935135361062845,0.01925559135146749,712,12.523955869674683,0.21417797967403454,0.10992002487182617,0.05390428055704003,"{'n_factors': 137, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 2.5118864315095822e-05, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",137,True,200,2.5118864315095822e-05,0.10000000000000082,0,0
0.9865472311326654,0.9729307183051523,0.9692265503694854,0.9953762857253248,0.9886456313352409,0.9825452833735738,0.009876162845555536,465,15.429778385162354,0.1306001042823059,0.08309588432312012,0.01427151729420402,"{'n_factors': 167, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.0010000000000000041, 'reg_all': 0.00015848931924611174, 'reg_bu': 0, 'reg_bi': 0}",167,True,200,0.0010000000000000041,0.00015848931924611174,0,0
1.4963696794962078,1.4663162896588093,1.455749645677666,1.4812841500777625,1.4821590380773988,1.4763757605975687,0.014028007348730064,579,12.173029708862305,0.2985270532808005,0.09652919769287109,0.009622934503384582,"{'n_factors': 135, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.00015848931924611174, 'reg_all': 0.6309573444801995, 'reg_bu': 0, 'reg_bi': 0}",135,True,200,0.00015848931924611174,0.6309573444801995,0,0
1.891155093260732,1.8405749450515032,1.8163950199402181,1.835808986431489,1.859454203836413,1.848677649704071,0.025274065093120485,649,10.239151191711425,0.07513131137905625,0.07406148910522461,0.011436837525320011,"{'n_factors': 115, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 6.309573444801943e-05, 'reg_all': 0.2511886431509603, 'reg_bu': 0, 'reg_bi': 0}",115,True,200,6.309573444801943e-05,0.2511886431509603,0,0
0.8159582457684255,0.7916814087246528,0.7823974272191604,0.8080550212700662,0.8107470789536013,0.8017678363871813,0.012637024836198257,181,3.836691427230835,0.16436778017652226,0.07233796119689942,0.01067457756871316,"{'n_factors': 39, 'cache_ratings': 'True', 'n_epochs': 200, 'lr_all': 0.0010000000000000041, 'reg_all': 2.5118864315095822e-05, 'reg_bu': 0, 'reg_bi': 0}",39,True,200,0.0010000000000000041,2.5118864315095822e-05,0,0
