split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.7147337300993587,0.7258842934113681,0.7202680514013788,0.7202953583040351,0.004552239360577153,785,3.7709056536356607,0.06835016257129349,0.09434644381205241,0.008590356113742112,"{'cache_ratings': True, 'lr_all': 0.026143329184412353, 'n_epochs': 200, 'n_factors': 68, 'reg_all': 0.1345340501422197, 'reg_bi': 0, 'reg_bu': 0}",True,0.026143329184412353,200,68,0.1345340501422197,0,0
0.7146471324415755,0.7234922435263956,0.718810418159238,0.7189832647090696,0.003613069283683284,509,3.2148407300313315,0.09985343890913938,0.09452493985493977,0.002639076991128643,"{'cache_ratings': True, 'lr_all': 0.02004391797892232, 'n_epochs': 200, 'n_factors': 57, 'reg_all': 0.17700568015238619, 'reg_bi': 0, 'reg_bu': 0}",True,0.02004391797892232,200,57,0.17700568015238619,0,0
0.7125670475900431,0.722239625080916,0.718015178372015,0.7176072836809914,0.00395933263639714,202,2.2767396767934165,0.03501745779315877,0.08300201098124187,0.011007529398771298,"{'cache_ratings': True, 'lr_all': 0.016735523573683405, 'n_epochs': 200, 'n_factors': 40, 'reg_all': 0.16876589621690682, 'reg_bi': 0, 'reg_bu': 0}",True,0.016735523573683405,200,40,0.16876589621690682,0,0
0.7155893112539616,0.7236727372655215,0.7190767707544012,0.7194462730912948,0.003310371882816997,626,3.3775785764058432,0.027798744518961742,0.09059778849283855,0.010042258941832714,"{'cache_ratings': True, 'lr_all': 0.013408477817007764, 'n_epochs': 200, 'n_factors': 60, 'reg_all': 0.1138303355427175, 'reg_bi': 0, 'reg_bu': 0}",True,0.013408477817007764,200,60,0.1138303355427175,0,0
0.7138276045531842,0.7241516522856724,0.7189000630579482,0.7189597732989349,0.004214986309217197,504,1.8503275712331135,0.032159801731172326,0.0888516902923584,0.0029807118602099524,"{'cache_ratings': True, 'lr_all': 0.020597681845915344, 'n_epochs': 200, 'n_factors': 29, 'reg_all': 0.1821370187178849, 'reg_bi': 0, 'reg_bu': 0}",True,0.020597681845915344,200,29,0.1821370187178849,0,0
0.7114159090673834,0.7221661661082815,0.7154790595604306,0.7163537115786985,0.004432137838270244,53,2.3509325981140137,0.06218783192588204,0.09499573707580566,0.009261715967777024,"{'cache_ratings': True, 'lr_all': 0.01635841261559322, 'n_epochs': 200, 'n_factors': 40, 'reg_all': 0.13786995681991998, 'reg_bi': 0, 'reg_bu': 0}",True,0.01635841261559322,200,40,0.13786995681991998,0,0
0.7155098155885117,0.7238533559356004,0.717347460088599,0.7189035438709036,0.0035795450301249376,489,2.706468343734741,0.06184483163533116,0.08441503842671712,0.0062259406831764175,"{'cache_ratings': True, 'lr_all': 0.016663775607047432, 'n_epochs': 200, 'n_factors': 45, 'reg_all': 0.11198789272252443, 'reg_bi': 0, 'reg_bu': 0}",True,0.016663775607047432,200,45,0.11198789272252443,0,0
0.7140680635913789,0.724707318509435,0.7196625241172774,0.719479302072697,0.004345389437174436,631,2.8510614236195884,0.0578341635914401,0.09786534309387207,0.01095745632188939,"{'cache_ratings': True, 'lr_all': 0.02338719578924793, 'n_epochs': 200, 'n_factors': 50, 'reg_all': 0.16084615093296892, 'reg_bi': 0, 'reg_bu': 0}",True,0.02338719578924793,200,50,0.16084615093296892,0,0
0.7122591891182528,0.722394051909468,0.7182420717645133,0.7176317709307446,0.004159984878174733,207,1.4608136812845867,0.03935434528960197,0.08027831713358562,0.009003607574954952,"{'cache_ratings': True, 'lr_all': 0.02267761180925297, 'n_epochs': 200, 'n_factors': 24, 'reg_all': 0.15004196687768595, 'reg_bi': 0, 'reg_bu': 0}",True,0.02267761180925297,200,24,0.15004196687768595,0,0
0.7146181276351704,0.720299985440727,0.7166090087621183,0.7171757072793387,0.0023539665018440627,142,1.564322789510091,0.03281946255443899,0.10088713963826497,0.005488435355856135,"{'cache_ratings': True, 'lr_all': 0.013002871354481381, 'n_epochs': 200, 'n_factors': 23, 'reg_all': 0.2021888182695759, 'reg_bi': 0, 'reg_bu': 0}",True,0.013002871354481381,200,23,0.2021888182695759,0,0
0.7128507710663814,0.7212500753959316,0.7134968288722981,0.7158658917782037,0.0038163178234351548,24,2.6007192929585776,0.0351038943675955,0.09081435203552246,0.003779068416985597,"{'cache_ratings': True, 'lr_all': 0.012441761408158503, 'n_epochs': 200, 'n_factors': 44, 'reg_all': 0.15031137862764365, 'reg_bi': 0, 'reg_bu': 0}",True,0.012441761408158503,200,44,0.15031137862764365,0,0
0.7116684532010547,0.7222809668417042,0.7159903034344635,0.7166465744924074,0.00435732182419157,78,2.844831705093384,0.08204577608693772,0.0973055362701416,0.00220729013302803,"{'cache_ratings': True, 'lr_all': 0.01631502325917791, 'n_epochs': 200, 'n_factors': 49, 'reg_all': 0.13087379660462065, 'reg_bi': 0, 'reg_bu': 0}",True,0.01631502325917791,200,49,0.13087379660462065,0,0
0.7127217938114971,0.7232722739270956,0.7170610195344181,0.7176850290910036,0.004329757392159678,219,1.7047044436136882,0.051501275135476754,0.09235946337381999,0.0032880946056332767,"{'cache_ratings': True, 'lr_all': 0.021365755841418244, 'n_epochs': 200, 'n_factors': 27, 'reg_all': 0.16276426133004443, 'reg_bi': 0, 'reg_bu': 0}",True,0.021365755841418244,200,27,0.16276426133004443,0,0
