split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_biased,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
7.425895917474684,7.444535795278087,7.414178556359163,7.333687374776938,7.404574410972218,0.04233417763563094,834,6.457459270954132,0.06286886107517133,0.05362546443939209,0.005579709027438222,"{'n_factors': 455, 'n_epochs': 200, 'biased': False, 'lr_all': 0.2511886431509603, 'reg_all': 0.00039810717055349854, 'reg_bu': 0, 'reg_bi': 0}",455,200,False,0.2511886431509603,0.00039810717055349854,0,0
1.2927689582238913,1.2878292458031009,1.307022453204794,1.3335711019952847,1.3052979398067677,0.01777973773917914,421,5.330680012702942,0.013252079161254943,0.0538749098777771,0.0018752096362848784,"{'n_factors': 355, 'n_epochs': 200, 'biased': True, 'lr_all': 0.00039810717055349854, 'reg_all': 0.0010000000000000041, 'reg_bu': 0, 'reg_bi': 0}",355,200,True,0.00039810717055349854,0.0010000000000000041,0,0
3.0580251606755176,2.9930275031032223,3.0275911193544394,3.196164769148674,3.0687021380704635,0.07709975098041286,701,1.9667795300483704,0.02691083426222894,0.04835301637649536,0.0023305755889286408,"{'n_factors': 105, 'n_epochs': 200, 'biased': False, 'lr_all': 0.00015848931924611174, 'reg_all': 0.01584893192461124, 'reg_bu': 0, 'reg_bi': 0}",105,200,False,0.00015848931924611174,0.01584893192461124,0,0
2.248288011868454,2.238853736879714,2.2635801765938477,2.2767484136311937,2.2568675847433024,0.014477690010745593,630,6.142211496829987,0.020810772653001772,0.07089310884475708,0.007639467417191634,"{'n_factors': 430, 'n_epochs': 200, 'biased': True, 'lr_all': 2.5118864315095822e-05, 'reg_all': 0.0025118864315095924, 'reg_bu': 0, 'reg_bi': 0}",430,200,True,2.5118864315095822e-05,0.0025118864315095924,0,0
3.8416041217639374,3.808346564713929,3.8502157952610294,3.927363510290714,3.8568824980074026,0.043592383564374386,764,4.967749774456024,0.008446969090548324,0.04917973279953003,0.005381344099414993,"{'n_factors': 330, 'n_epochs': 200, 'biased': False, 'lr_all': 1e-05, 'reg_all': 0.6309573444801995, 'reg_bu': 0, 'reg_bi': 0}",330,200,False,1e-05,0.6309573444801995,0,0
7.425895917474684,7.444535795278087,7.414178556359163,7.333687374776938,7.404574410972218,0.04233417763563094,853,3.814915895462036,0.014112726717626213,0.053514301776885986,0.0012879066264945872,"{'n_factors': 230, 'n_epochs': 200, 'biased': False, 'lr_all': 0.10000000000000082, 'reg_all': 2.5118864315095822e-05, 'reg_bu': 0, 'reg_bi': 0}",230,200,False,0.10000000000000082,2.5118864315095822e-05,0,0
3.832142210266294,3.7975386265352715,3.838934460836471,3.9185942511201888,3.8468023871895562,0.044322158377486646,743,6.631743907928467,0.07021080280436236,0.05885970592498779,0.004725864606694162,"{'n_factors': 430, 'n_epochs': 200, 'biased': False, 'lr_all': 1e-05, 'reg_all': 0.0025118864315095924, 'reg_bu': 0, 'reg_bi': 0}",430,200,False,1e-05,0.0025118864315095924,0,0
7.425895917474684,7.444535795278087,7.414178556359163,7.333687374776938,7.404574410972218,0.04233417763563094,854,4.077731132507324,0.07185362551652344,0.05830651521682739,0.0022453217084087923,"{'n_factors': 230, 'n_epochs': 200, 'biased': False, 'lr_all': 0.10000000000000082, 'reg_all': 0.01584893192461124, 'reg_bu': 0, 'reg_bi': 0}",230,200,False,0.10000000000000082,0.01584893192461124,0,0
0.9034757448072646,0.8656346194284198,0.9076116110477731,0.9039219839431617,0.8951609898066547,0.0171224610233355,181,1.190041422843933,0.005416706140281521,0.055585503578186035,0.005547292479616587,"{'n_factors': 30, 'n_epochs': 200, 'biased': False, 'lr_all': 0.0025118864315095924, 'reg_all': 0.0063095734448019684, 'reg_bu': 0, 'reg_bi': 0}",30,200,False,0.0025118864315095924,0.0063095734448019684,0,0
1.4736015041836295,1.4054314811384596,1.4831498347210723,1.4672312601715314,1.4573535200536731,0.030507846177892005,451,3.3543508648872375,0.056783322385898734,0.056619226932525635,0.003300152321032694,"{'n_factors': 180, 'n_epochs': 200, 'biased': False, 'lr_all': 0.00039810717055349854, 'reg_all': 0.03981071705535002, 'reg_bu': 0, 'reg_bi': 0}",180,200,False,0.00039810717055349854,0.03981071705535002,0,0
0.8194670095383083,0.858289193656373,0.938073476037206,0.8895717950432807,0.876350368568792,0.043435212349502796,159,0.8565718531608582,0.01419611705397759,0.06174653768539429,0.0031700776642455955,"{'n_factors': 5, 'n_epochs': 200, 'biased': True, 'lr_all': 0.0010000000000000041, 'reg_all': 0.0025118864315095924, 'reg_bu': 0, 'reg_bi': 0}",5,200,True,0.0010000000000000041,0.0025118864315095924,0,0
3.8687534134998507,3.8379451159342706,3.8768654738477464,3.957406289485481,3.8852425731918374,0.04412119556718027,814,1.5826338529586792,0.015874778522441364,0.055161476135253906,0.003040543586263066,"{'n_factors': 55, 'n_epochs': 200, 'biased': False, 'lr_all': 1e-05, 'reg_all': 0.03981071705535002, 'reg_bu': 0, 'reg_bi': 0}",55,200,False,1e-05,0.03981071705535002,0,0
2.3830709869374065,2.37425940786483,2.389662170120228,2.4087784349404346,2.388942749965725,0.012689071085852547,643,3.5017701983451843,0.028726042442558736,0.06787341833114624,0.0039859196486456685,"{'n_factors': 180, 'n_epochs': 200, 'biased': True, 'lr_all': 1e-05, 'reg_all': 0.0025118864315095924, 'reg_bu': 0, 'reg_bi': 0}",180,200,True,1e-05,0.0025118864315095924,0,0
