split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.6960623550240783,0.68048073482958,0.7011746785998967,0.7123300939389892,0.697511965598136,0.011458147607352259,440,4.417567312717438,0.024271764667662073,0.7965139746665955,0.0058722338451060035,"{'cache_ratings': True, 'lr_all': 0.03726795266487341, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.19262706040917732, 'reg_bi': 0, 'reg_bu': 0}",True,0.03726795266487341,350,1,0.19262706040917732,0,0
0.67781092334168,0.6609582891490738,0.6788283497608115,0.6904909843165786,0.677022136642036,0.010527839809822704,132,4.50682532787323,0.01606739559708761,0.8151032328605652,0.00936483885766442,"{'cache_ratings': True, 'lr_all': 0.02438041061322479, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.103388097127944, 'reg_bi': 0, 'reg_bu': 0}",True,0.02438041061322479,350,1,0.103388097127944,0,0
0.7150137078752197,0.6977491034610634,0.7248426902401638,0.732342921753281,0.7174871058324319,0.012947068429960407,491,4.643287301063538,0.03864534565484629,0.7548812627792358,0.013257487182709523,"{'cache_ratings': True, 'lr_all': 0.08470398484549813, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.1771123574569921, 'reg_bi': 0, 'reg_bu': 0}",True,0.08470398484549813,350,1,0.1771123574569921,0,0
0.6786104352777582,0.6630565109400649,0.6807534188754346,0.6920640623847074,0.6786211068694913,0.010338236887931571,170,4.610142469406128,0.02364971090518977,0.7797750234603882,0.00829367150433305,"{'cache_ratings': True, 'lr_all': 0.013523162592648259, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.13584284113574366, 'reg_bi': 0, 'reg_bu': 0}",True,0.013523162592648259,350,1,0.13584284113574366,0,0
0.6916984703276914,0.6737917058528659,0.693907362847598,0.7032820424967888,0.690669895381236,0.010670973463514932,383,4.494388937950134,0.020845526511540226,0.7694267630577087,0.02033888363058579,"{'cache_ratings': True, 'lr_all': 0.08209906994260278, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.0448294990195686, 'reg_bi': 0, 'reg_bu': 0}",True,0.08209906994260278,350,1,0.0448294990195686,0,0
0.6791818657588414,0.6640344161142178,0.6790161633099401,0.6910839311125996,0.6783290940738997,0.009594568379251857,162,4.5023884773254395,0.038685815093414774,0.8071140050888062,0.017700067025963342,"{'cache_ratings': True, 'lr_all': 0.004718587326126923, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.13082189137884567, 'reg_bi': 0, 'reg_bu': 0}",True,0.004718587326126923,350,1,0.13082189137884567,0,0
0.686174727620513,0.669326094691075,0.6891852266874375,0.7007124743528299,0.6863496308379637,0.01122678996568019,326,4.661927759647369,0.0323215794184707,0.7541447877883911,0.007220170824468149,"{'cache_ratings': True, 'lr_all': 0.04033361266990669, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.13322243423320795, 'reg_bi': 0, 'reg_bu': 0}",True,0.04033361266990669,350,1,0.13322243423320795,0,0
0.6894886568212846,0.672992036636579,0.6931109471359544,0.7045093406987851,0.6900252453231508,0.011288586048622857,375,4.647040665149689,0.03923472883267453,0.7752265334129333,0.00900901074050219,"{'cache_ratings': True, 'lr_all': 0.037448916560729364, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.15802776754019648, 'reg_bi': 0, 'reg_bu': 0}",True,0.037448916560729364,350,1,0.15802776754019648,0,0
0.6782746539190927,0.6629692992801861,0.6779690730787664,0.6903953022699065,0.6774020821369879,0.009723834771542785,142,4.607742369174957,0.05215144927346198,0.7518323063850403,0.003166839874975164,"{'cache_ratings': True, 'lr_all': 0.005406646205070397, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.12770748659189976, 'reg_bi': 0, 'reg_bu': 0}",True,0.005406646205070397,350,1,0.12770748659189976,0,0
0.6771800126366367,0.6569224910047601,0.6732707197023036,0.6867999633217616,0.6735432966663655,0.01078529546307042,31,4.56872421503067,0.03084333958670663,0.7653314471244812,0.010391372634406863,"{'cache_ratings': True, 'lr_all': 0.010181451564969291, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.04538937697051147, 'reg_bi': 0, 'reg_bu': 0}",True,0.010181451564969291,350,1,0.04538937697051147,0,0
0.6849072578619463,0.6672585981527385,0.6868545125366915,0.6983007316013087,0.6843302750381712,0.011105409632145461,294,4.692098259925842,0.03315164737596068,0.7803789377212524,0.014037125885720026,"{'cache_ratings': True, 'lr_all': 0.0496434649704683, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.09980267808848935, 'reg_bi': 0, 'reg_bu': 0}",True,0.0496434649704683,350,1,0.09980267808848935,0,0
0.6788724108500078,0.6623850059129482,0.680174398565711,0.692094724225673,0.6783816348885849,0.010575866635853895,165,4.708931565284729,0.0410023496400237,0.8027947545051575,0.018646408621137475,"{'cache_ratings': True, 'lr_all': 0.02164939220185461, 'n_epochs': 350, 'n_factors': 1, 'reg_all': 0.12045523134658809, 'reg_bi': 0, 'reg_bu': 0}",True,0.02164939220185461,350,1,0.12045523134658809,0,0
