split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
1.4958278147674786,1.4406894862444155,1.5032907889578662,1.47993602998992,0.02791824245802317,2499,0.007941802342732748,0.0006236276064968358,0.08301583925882976,0.0011351083150618582,"{'n_factors': 1, 'n_epochs': 1, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,1,0.03981071705535002,0.10000000000000082,0,0
1.2143199040059678,1.1753597645044203,1.2362922154571363,1.2086572946558414,0.025195763575984888,2498,0.010592222213745117,0.0008684396225591717,0.08757130304972331,0.0018222478388396396,"{'n_factors': 1, 'n_epochs': 2, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,2,0.03981071705535002,0.10000000000000082,0,0
1.1040177924425405,1.0659110371947595,1.12945651227296,1.0997951139700868,0.02611359940516109,2497,0.011076132456461588,0.0024883870976249683,0.08668605486551921,0.007112864560787362,"{'n_factors': 1, 'n_epochs': 3, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,3,0.03981071705535002,0.10000000000000082,0,0
1.0426587024050302,0.9962946733047855,1.072609667679683,1.0371876811298328,0.03139473041722561,2496,0.008675257364908854,0.00012059304014233029,0.0754543940226237,0.0017542895034754163,"{'n_factors': 1, 'n_epochs': 4, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,4,0.03981071705535002,0.10000000000000082,0,0
0.9937553040161238,0.9176695636463198,1.0133914112972486,0.9749387596532307,0.041281269245243654,2495,0.018245776494344074,0.0005224494901919267,0.0818010965983073,0.0038502386358851607,"{'n_factors': 1, 'n_epochs': 5, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,5,0.03981071705535002,0.10000000000000082,0,0
0.9868695274368965,0.872876068605579,0.8645484932125566,0.9080980297516774,0.055803516995860766,2493,0.024617751439412434,0.0023435575518589713,0.09724307060241699,0.009293967864704487,"{'n_factors': 1, 'n_epochs': 6, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,6,0.03981071705535002,0.10000000000000082,0,0
0.8152746012582693,0.7943431432397787,0.8644911985523152,0.8247029810167877,0.029403607201450608,2491,0.03135824203491211,0.0018519412023076864,0.08654316266377766,0.0019935122556123397,"{'n_factors': 1, 'n_epochs': 7, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,7,0.03981071705535002,0.10000000000000082,0,0
0.9224284568200489,0.9486673699838145,0.8930437948711943,0.921379873891686,0.022720331155091988,2494,0.02937030792236328,0.002916312520383531,0.08655842145284016,0.003583814973802069,"{'n_factors': 1, 'n_epochs': 8, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,8,0.03981071705535002,0.10000000000000082,0,0
0.786967856178966,0.7543267631496546,0.9629320753205407,0.8347422315497205,0.09161818332269898,2492,0.038057168324788414,0.0031831289070063462,0.09727295239766438,0.004894393314848398,"{'n_factors': 1, 'n_epochs': 9, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,9,0.03981071705535002,0.10000000000000082,0,0
0.7514702477997716,0.7340638712339149,0.7555921348318105,0.7470420846218323,0.009329987682484258,2488,0.03392211596171061,0.0029733214126705224,0.08535321553548177,0.005512495906336334,"{'n_factors': 1, 'n_epochs': 10, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,10,0.03981071705535002,0.10000000000000082,0,0
