split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.7099983586028211,0.7254931554184637,0.7347722680522402,0.7234212606911751,0.0102194653536842,1,58.12869739532471,0.35882788817695,0.1044695377349853,0.0057032318259567,"{'n_factors': 137, 'cache_ratings': 'True', 'n_epochs': 1500, 'lr_all': 0.0063095734448019684, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",137,True,1500,0.0063095734448019,0.1000000000000008,0,0
0.7097105844999891,0.7258537854989231,0.7350861947469739,0.7235501882486287,0.0104868272631396,2,6.368974447250366,0.0462907086561435,0.1050713062286377,0.0062294018423101,"{'n_factors': 71, 'cache_ratings': 'True', 'n_epochs': 300, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",71,True,300,0.0158489319246112,0.1000000000000008,0,0
0.7102019221220818,0.7248453647440155,0.7359880507159603,0.7236784458606859,0.0105594312260087,3,44.241180181503296,0.3144285649930672,0.1164266268412272,0.0275974920721819,"{'n_factors': 121, 'cache_ratings': 'True', 'n_epochs': 1100, 'lr_all': 0.0063095734448019684, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",121,True,1100,0.0063095734448019,0.1000000000000008,0,0
0.7097210145092324,0.7256792184939622,0.7357222516511621,0.7237074948847856,0.0107061307583071,4,60.658405462900795,0.5056715684498747,0.11126708984375,0.0067387630526214,"{'n_factors': 141, 'cache_ratings': 'True', 'n_epochs': 1500, 'lr_all': 0.0063095734448019684, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",141,True,1500,0.0063095734448019,0.1000000000000008,0,0
0.7101509809929646,0.7259527663149141,0.7352478257454521,0.7237838576844436,0.010359891492936,5,66.22965431213379,0.3641988499977768,0.1037766933441162,0.0057553080182481,"{'n_factors': 179, 'cache_ratings': 'True', 'n_epochs': 1300, 'lr_all': 0.0063095734448019684, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",179,True,1300,0.0063095734448019,0.1000000000000008,0,0
0.7108837969235445,0.7266724587617315,0.7339240558285607,0.7238267705046123,0.009618968719673,6,34.41203840573629,0.22157006221309,0.1027062733968098,0.0056139899980322,"{'n_factors': 133, 'cache_ratings': 'True', 'n_epochs': 900, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",133,True,900,0.0158489319246112,0.1000000000000008,0,0
0.7113377832921397,0.7267945944473283,0.7335904153173917,0.7239075976856199,0.0093111392335346,7,46.07349403699239,0.1073233938840888,0.1049392223358154,0.0109554539975856,"{'n_factors': 147, 'cache_ratings': 'True', 'n_epochs': 1100, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",147,True,1100,0.0158489319246112,0.1000000000000008,0,0
0.7112753531895324,0.7267594204495005,0.7337420363901213,0.7239256033430514,0.0093883208670314,8,25.722861448923748,0.0972481586924825,0.1033294995625813,0.0127339419110552,"{'n_factors': 67, 'cache_ratings': 'True', 'n_epochs': 1300, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",67,True,1300,0.0158489319246112,0.1000000000000008,0,0
0.7111356615527824,0.7269737184541148,0.7339769231688336,0.7240287677252436,0.0095545925833193,9,69.61255892117818,0.2751619551721277,0.1180786291758219,0.0105495484425971,"{'n_factors': 221, 'cache_ratings': 'True', 'n_epochs': 1100, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",221,True,1100,0.0158489319246112,0.1000000000000008,0,0
0.7097753044804747,0.7256358302824291,0.7368514720745173,0.7240875356124737,0.0111078838423866,10,29.587023576100663,0.2274341862211342,0.1038528283437093,0.0169525023462942,"{'n_factors': 115, 'cache_ratings': 'True', 'n_epochs': 900, 'lr_all': 0.0063095734448019684, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",115,True,900,0.0063095734448019,0.1000000000000008,0,0
0.7116312428872951,0.726934330904886,0.7341428146913175,0.7242361294944994,0.0093862642341587,11,37.507397969563804,0.0869544598741421,0.0994123617808024,0.0097770106969259,"{'n_factors': 67, 'cache_ratings': 'True', 'n_epochs': 1900, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",67,True,1900,0.0158489319246112,0.1000000000000008,0,0
0.7096664963364918,0.7289008124609178,0.7351828734450081,0.7245833940808059,0.0108551508906355,12,12.671484231948853,0.0198957993496061,0.0975889364878336,0.0120820190618794,"{'n_factors': 25, 'cache_ratings': 'True', 'n_epochs': 1500, 'lr_all': 0.0025118864315095924, 'reg_all': 0.2511886431509603, 'reg_bu': 0, 'reg_bi': 0}",25,True,1500,0.0025118864315095,0.2511886431509603,0,0
0.7105463992105019,0.7267662733505305,0.7372891985239368,0.7248672903616563,0.0109999676082459,13,9.700479745864868,0.0443745570316284,0.1043530305226643,0.0135659937005453,"{'n_factors': 111, 'cache_ratings': 'True', 'n_epochs': 300, 'lr_all': 0.01584893192461124, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",111,True,300,0.0158489319246112,0.1000000000000008,0,0
