split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_lr_bi,param_lr_bu,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.6431865836125523,0.7012213113148272,0.6805878115584089,0.6699567976709583,0.6737381260391867,0.02091613523982284,44,1.6399461030960083,0.05834353545294366,0.07186973094940186,0.009848104544804344,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.01799446909531609, 'lr_bu': 5.5778824664571284e-05, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 2.2340971639175835e-05, 'reg_bu': 0.0027956270632651103}",True,0.00263,0.01799446909531609,5.5778824664571284e-05,577,1,0.00942,2.2340971639175835e-05,0.0027956270632651103
0.6449470672451362,0.7014467745416108,0.6806166484559683,0.6704327155770284,0.6743608014549358,0.020330907373881265,216,1.588130235671997,0.022650922191698966,0.07660132646560669,0.01056940106096253,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.011942439465163192, 'lr_bu': 6.175092859619119e-05, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 9.2902240933831e-05, 'reg_bu': 0.0045405066881599385}",True,0.00263,0.011942439465163192,6.175092859619119e-05,577,1,0.00942,9.2902240933831e-05,0.0045405066881599385
0.6451080868283534,0.7024474290809192,0.6797460037522787,0.6729528705303514,0.6750635975479756,0.020454748521450097,355,1.6316034197807312,0.021684855471627105,0.07193624973297119,0.007353839076449611,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.016271094044570392, 'lr_bu': 0.00019071466195824275, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -8.391130330186549e-05, 'reg_bu': 0.0011426291592860592}",True,0.00263,0.016271094044570392,0.00019071466195824275,577,1,0.00942,-8.391130330186549e-05,0.0011426291592860592
0.6444681822772436,0.702384275606475,0.6797227009016744,0.6708979552793505,0.6743682785161859,0.020734179695079815,220,1.6341541409492493,0.024911587338887632,0.07710647583007812,0.00993804746394213,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.01749897257585668, 'lr_bu': 0.00016057094307200974, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -4.400814156820367e-05, 'reg_bu': 0.019967975118669882}",True,0.00263,0.01749897257585668,0.00016057094307200974,577,1,0.00942,-4.400814156820367e-05,0.019967975118669882
0.6456562768721427,0.7022670395972778,0.6823881283252732,0.6708382658401437,0.6752874276587093,0.020470219516018368,387,1.5914762020111084,0.030984976178494158,0.07299911975860596,0.0075913945853924025,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.013668054426494897, 'lr_bu': 3.0854288441189756e-05, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 0.005156282936616416, 'reg_bu': 0.0018497644287121355}",True,0.00263,0.013668054426494897,3.0854288441189756e-05,577,1,0.00942,0.005156282936616416,0.0018497644287121355
0.6455606151860724,0.7030242823808854,0.6806741564130188,0.671938574438936,0.6752994071047281,0.02057454483210993,388,1.6173028349876404,0.055015982720124534,0.0732266902923584,0.008651097332656486,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.017558590558447797, 'lr_bu': 8.64450606060342e-05, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 0.005824946979232016, 'reg_bu': 0.012890469554023887}",True,0.00263,0.017558590558447797,8.64450606060342e-05,577,1,0.00942,0.005824946979232016,0.012890469554023887
0.6444594071641596,0.7024779230578451,0.6798466449744665,0.6705586418102327,0.674335654251676,0.020791911139446197,208,1.599654197692871,0.054620687132981544,0.0756298303604126,0.0043996381924606386,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.014877013697423672, 'lr_bu': 0.000164435303644402, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': -0.00035732268506977346, 'reg_bu': 0.02242987951715152}",True,0.00263,0.014877013697423672,0.000164435303644402,577,1,0.00942,-0.00035732268506977346,0.02242987951715152
0.644137055743271,0.7016555112656835,0.6795293320967865,0.6716698299452518,0.6742479322627482,0.020569273609803315,184,1.5968931317329407,0.02404167239497578,0.07287043333053589,0.007559221255352458,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.012318355622548592, 'lr_bu': 0.00012963818930894057, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 0.0001310906469345755, 'reg_bu': 0.0033077447433943544}",True,0.00263,0.012318355622548592,0.00012963818930894057,577,1,0.00942,0.0001310906469345755,0.0033077447433943544
0.6454332466993057,0.702664571430556,0.6804378123658387,0.6716743085135095,0.6750524847523025,0.02049475799913811,353,1.6190441846847534,0.04550857924038073,0.0710797905921936,0.0029752389866748038,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.021205506724374077, 'lr_bu': 0.00011387016825999549, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 0.004039217488392215, 'reg_bu': 0.00047027945040184135}",True,0.00263,0.021205506724374077,0.00011387016825999549,577,1,0.00942,0.004039217488392215,0.00047027945040184135
0.6521641734747274,0.7076759432862317,0.6857763207416824,0.6770558450386535,0.6806680706353238,0.019881145159295194,479,1.6210409998893738,0.05068383825659337,0.07466310262680054,0.006650262847913175,"{'cache_ratings': True, 'lr_all': 0.00263, 'lr_bi': 0.01515724265549621, 'lr_bu': 2.9082046588496167e-05, 'n_epochs': 577, 'n_factors': 1, 'reg_all': 0.00942, 'reg_bi': 0.01801863086957345, 'reg_bu': 0.025207574044050284}",True,0.00263,0.01515724265549621,2.9082046588496167e-05,577,1,0.00942,0.01801863086957345,0.025207574044050284
