split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_bi,param_lr_bu,param_lr_pu,param_lr_qi,param_lr_yj,param_n_epochs,param_n_factors,param_reg_bi,param_reg_bu,param_reg_pu,param_reg_qi,param_reg_yj
0.671505630529493,0.6848365537049337,0.6951458304102122,0.6838293382148796,0.009677314533920471,129,5.545667330423991,0.1281516523377596,0.11621610323588054,0.01233677364894291,"{'cache_ratings': True, 'lr_bi': 0.01673775007586443, 'lr_bu': 2.6061353272138763e-05, 'lr_pu': 0.0025613377680243797, 'lr_qi': 0.0006747305205033883, 'lr_yj': 0.0008329847480719873, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.01673775007586443,2.6061353272138763e-05,0.0025613377680243797,0.0006747305205033883,0.0008329847480719873,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6715207196055221,0.6836956073005739,0.6966105616859865,0.6839422961973608,0.010244370339020642,179,5.675116300582886,0.1769143442101415,0.12426996231079102,0.01549888769115219,"{'cache_ratings': True, 'lr_bi': 0.01815004061792826, 'lr_bu': 3.100135566993764e-05, 'lr_pu': 0.0023247595945536624, 'lr_qi': 0.0005862445807749436, 'lr_yj': 0.0016714202896417289, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.01815004061792826,3.100135566993764e-05,0.0023247595945536624,0.0005862445807749436,0.0016714202896417289,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6711658882603052,0.6844795181739386,0.6960512658724014,0.6838988907688818,0.010167705439668018,156,5.499560197194417,0.1685324580809007,0.1276396910349528,0.016605956470611406,"{'cache_ratings': True, 'lr_bi': 0.020024120795922803, 'lr_bu': 2.5077544858114478e-05, 'lr_pu': 0.002279252412523296, 'lr_qi': 0.0006090475201849341, 'lr_yj': 0.0010400166917332893, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.020024120795922803,2.5077544858114478e-05,0.002279252412523296,0.0006090475201849341,0.0010400166917332893,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6705876286932342,0.6841571049471133,0.6958616324486834,0.6835354553630103,0.01032742796671971,34,5.585437377293904,0.12826760229647047,0.12596003214518228,0.004848259153763128,"{'cache_ratings': True, 'lr_bi': 0.01858302401077206, 'lr_bu': 2.9016062107430233e-05, 'lr_pu': 0.002205474580309166, 'lr_qi': 0.0006652771920267533, 'lr_yj': 0.0011148678845320995, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.01858302401077206,2.9016062107430233e-05,0.002205474580309166,0.0006652771920267533,0.0011148678845320995,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6707447623485988,0.6847397026591392,0.6953941546919747,0.6836262065665709,0.01009382784628123,59,5.490841229756673,0.06147019610683116,0.1333309809366862,0.006955469790605869,"{'cache_ratings': True, 'lr_bi': 0.015490010366838216, 'lr_bu': 2.5467817535280936e-05, 'lr_pu': 0.0019658722180186596, 'lr_qi': 0.000609898240449313, 'lr_yj': 0.0011514256071798832, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.015490010366838216,2.5467817535280936e-05,0.0019658722180186596,0.000609898240449313,0.0011514256071798832,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6712743062560317,0.6843559047740011,0.6961394881539482,0.6839232330613271,0.010155777380792678,168,5.6500764687856035,0.04471937488700295,0.12547405560811362,0.009418629647605899,"{'cache_ratings': True, 'lr_bi': 0.022489859991807894, 'lr_bu': 2.3512381084016673e-05, 'lr_pu': 0.002304475359173967, 'lr_qi': 0.0006814592051621504, 'lr_yj': 0.0011404687125220715, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.022489859991807894,2.3512381084016673e-05,0.002304475359173967,0.0006814592051621504,0.0011404687125220715,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6721756099398868,0.6843274051083004,0.6966282851980329,0.6843771000820733,0.009982824717580399,357,5.659935315450032,0.04156871021366321,0.13451631863911948,0.009431919748149959,"{'cache_ratings': True, 'lr_bi': 0.022573347800161358, 'lr_bu': 3.347299085144322e-05, 'lr_pu': 0.002072948411623531, 'lr_qi': 0.0006534493911447649, 'lr_yj': 0.0010328571261599925, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.022573347800161358,3.347299085144322e-05,0.002072948411623531,0.0006534493911447649,0.0010328571261599925,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6710442607995478,0.6859996671303403,0.6959236580035886,0.6843225286444922,0.010225970090400301,341,5.578233162562053,0.1455568472807522,0.18210530281066895,0.06190088953083168,"{'cache_ratings': True, 'lr_bi': 0.022434620889855754, 'lr_bu': 2.9651788149647777e-05, 'lr_pu': 0.0024232400507968985, 'lr_qi': 0.0007455163647982131, 'lr_yj': 0.0013345752942481672, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.022434620889855754,2.9651788149647777e-05,0.0024232400507968985,0.0007455163647982131,0.0013345752942481672,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6712885533405623,1.4758483721164368,0.6957815375626668,0.947639487673222,0.37363390796570306,492,5.475788116455078,0.06603830805573128,0.1217498779296875,0.009984308654764665,"{'cache_ratings': True, 'lr_bi': 0.02286184948895987, 'lr_bu': 3.438291842628504e-05, 'lr_pu': 0.002111217948500683, 'lr_qi': 0.0007684575055206904, 'lr_yj': 0.0009194286053182823, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.02286184948895987,3.438291842628504e-05,0.002111217948500683,0.0007684575055206904,0.0009194286053182823,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
0.6713328955078938,0.6838340818529368,0.6959619636763174,0.6837096470123827,0.010055159960052741,83,5.447045644124349,0.13397651959499546,0.1375884215037028,0.0037086223123942645,"{'cache_ratings': True, 'lr_bi': 0.022249423908507232, 'lr_bu': 3.005687029406547e-05, 'lr_pu': 0.0023638418392893457, 'lr_qi': 0.0006707706432679318, 'lr_yj': 0.0010979297424429575, 'n_epochs': 914, 'n_factors': 1, 'reg_bi': -0.00027, 'reg_bu': 0.00138, 'reg_pu': 2e-05, 'reg_qi': 0.00293, 'reg_yj': 0.00016986}",True,0.022249423908507232,3.005687029406547e-05,0.0023638418392893457,0.0006707706432679318,0.0010979297424429575,914,1,-0.00027,0.00138,2e-05,0.00293,0.00016986
