split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.7006218198380753,0.6935611989043399,0.6998548358356439,0.6980126181926863,0.0031631646996316473,65,1.6774663130442302,0.04733336193960148,0.09563398361206055,0.0036050086016272175,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.001, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.001,0.10000000000000082,0,0
0.691157459434667,0.6841737757391398,0.6883715686533997,0.6879009346090688,0.002870433392661039,24,1.6042858759562175,0.0767483246470345,0.09499295552571614,0.00642356691944511,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.002,0.10000000000000082,0,0
0.6898377881598137,0.6824239279888862,0.6857073812583943,0.685989699135698,0.0030332719623535494,13,1.6383903821309407,0.11315903343063521,0.0985872745513916,0.0073648326045232665,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.003, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.003,0.10000000000000082,0,0
0.6892668796840034,0.6818545810309018,0.6852003513024518,0.6854406040057857,0.003030823194203977,4,1.5298724174499512,0.02101659669928387,0.0946046511332194,0.009828243138937064,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.004, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.004,0.10000000000000082,0,0
0.6899935336983389,0.6818440551397124,0.6851844710630256,0.6856740199670256,0.0033449707314548408,8,1.7052022616068523,0.07663005613230087,0.1470669905344645,0.02226490477762186,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.005, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.005,0.10000000000000082,0,0
0.6899520451811053,0.6814791760446004,0.6854302468480028,0.6856204893579028,0.003461649126309037,6,1.4557036558787029,0.013467374705002493,0.12162645657857259,0.026960171463257552,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.006, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.006,0.10000000000000082,0,0
0.689935449506024,0.6812736686768176,0.6847631395889302,0.6853240859239239,0.003558333634007095,2,1.6523456573486328,0.10333042469672918,0.09869106610616048,0.008661627651250977,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.007, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.007,0.10000000000000082,0,0
0.6898553617012444,0.680883334280257,0.6854336121066625,0.6853907693627214,0.0036629401338513605,3,1.6562096277872722,0.14488188077490935,0.1541882356007894,0.055837036991206,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.008, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.008,0.10000000000000082,0,0
0.6901624604931499,0.6808941491402162,0.684794320517668,0.685283643383678,0.003799559315160131,1,1.7120209534962971,0.13034595793563902,0.10242787996927898,0.01307610314883409,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.009000000000000001, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.009000000000000001,0.10000000000000082,0,0
0.6907905982901377,0.6813980030588354,0.684799153098297,0.6856625848157566,0.00388281230062329,7,1.7393712997436523,0.18764737053489602,0.10991700490315755,0.018673100552754594,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.01, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.01,0.10000000000000082,0,0
0.6904981310080188,0.6810246669443121,0.6851527710489267,0.6855585230004193,0.0038781530248466456,5,1.7387456099192302,0.07578123330432412,0.0903460184733073,0.028893279928681827,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.011, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.011,0.10000000000000082,0,0
0.69089094056748,0.6809922696334821,0.6855340450709104,0.6858057517572909,0.00404567999702246,9,1.775085687637329,0.08724651601388625,0.1216890017191569,0.00998172645525085,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.012, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.012,0.10000000000000082,0,0
0.6913971936897926,0.680964275170613,0.6855344364014436,0.6859653017539498,0.004270103895765912,10,1.853591759999593,0.13054354395243492,0.11188213030497234,0.02852008198104764,"{'n_factors': 1, 'cache_ratings': 'True', 'n_epochs': 641, 'lr_all': 0.013000000000000001, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,True,641,0.013000000000000001,0.10000000000000082,0,0
