split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_cache_ratings,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.7338399828535215,0.7334722199321752,0.7550987359124556,0.7408036462327173,0.01010926980895577,718,25.69860641161601,0.11789383054243509,0.1217180887858073,0.008381066462658083,"{'cache_ratings': True, 'lr_all': 0.023227894151396835, 'n_epochs': 200, 'n_factors': 453, 'reg_all': 0.07110635278280505, 'reg_bi': 0, 'reg_bu': 0}",True,0.023227894151396835,200,453,0.07110635278280505,0,0
0.7130098952457676,0.722904119575009,0.7354293790939664,0.7237811313049143,0.009173700677687475,189,1.6412749290466309,0.03716329756777838,0.08970435460408528,0.004678957256114273,"{'cache_ratings': True, 'lr_all': 0.021204052566114816, 'n_epochs': 200, 'n_factors': 26, 'reg_all': 0.10237502450536728, 'reg_bi': 0, 'reg_bu': 0}",True,0.021204052566114816,200,26,0.10237502450536728,0,0
0.8758094157203639,0.8777074570542751,0.8824149399905311,0.87864393758839,0.0027768068668915704,938,28.165733973185223,0.12417914644846309,0.10735082626342773,0.008075527899803696,"{'cache_ratings': True, 'lr_all': 0.0043579457522633005, 'n_epochs': 200, 'n_factors': 495, 'reg_all': 0.05744937220177686, 'reg_bi': 0, 'reg_bu': 0}",True,0.0043579457522633005,200,495,0.05744937220177686,0,0
0.7192344157398104,0.7238523077159505,0.7385744207135959,0.7272203813897856,0.00824689389207831,382,1.5618301232655842,0.008194207360872459,0.08663797378540039,0.009527183583362358,"{'cache_ratings': True, 'lr_all': 0.04562400902688882, 'n_epochs': 200, 'n_factors': 25, 'reg_all': 0.12718936310963874, 'reg_bi': 0, 'reg_bu': 0}",True,0.04562400902688882,200,25,0.12718936310963874,0,0
0.8013336262596439,0.7925309033572363,0.8077486174726181,0.8005377156964993,0.00623804515013937,905,12.412163654963175,0.18364666711638464,0.11249049504597981,0.011834760512267924,"{'cache_ratings': True, 'lr_all': 0.0040546706442885945, 'n_epochs': 200, 'n_factors': 215, 'reg_all': 0.06678474838779239, 'reg_bi': 0, 'reg_bu': 0}",True,0.0040546706442885945,200,215,0.06678474838779239,0,0
0.7256032398334591,0.7299697004100845,0.7461279696385387,0.7339003032940274,0.00882811277175841,592,3.983573039372762,0.09112558140022162,0.08944280942281087,0.0033939311537318005,"{'cache_ratings': True, 'lr_all': 0.02399604676777472, 'n_epochs': 200, 'n_factors': 71, 'reg_all': 0.04643657510881434, 'reg_bi': 0, 'reg_bu': 0}",True,0.02399604676777472,200,71,0.04643657510881434,0,0
0.7203555744222321,0.7200779768735766,0.7396746775622882,0.7267027429526989,0.009173243001118336,355,2.760864734649658,0.08981839442905798,0.09445834159851074,0.012802986078686325,"{'cache_ratings': True, 'lr_all': 0.022770258504320195, 'n_epochs': 200, 'n_factors': 38, 'reg_all': 0.22211042172658252, 'reg_bi': 0, 'reg_bu': 0}",True,0.022770258504320195,200,38,0.22211042172658252,0,0
0.7318871394811594,0.7300965062366891,0.7503256656956635,0.7374364371378374,0.009143330956347805,677,25.96109366416931,0.033127114337408614,0.1254127025604248,0.005671197549047508,"{'cache_ratings': True, 'lr_all': 0.01489108459878844, 'n_epochs': 200, 'n_factors': 464, 'reg_all': 0.2825927121362948, 'reg_bi': 0, 'reg_bu': 0}",True,0.01489108459878844,200,464,0.2825927121362948,0,0
0.7175654426148966,0.7178660116644823,0.7370513541971535,0.7241609361588441,0.009115727922668267,216,11.81229861577352,0.20199856738785085,0.10989244778951009,0.002919408545969555,"{'cache_ratings': True, 'lr_all': 0.025330953085551753, 'n_epochs': 200, 'n_factors': 213, 'reg_all': 0.14102256965788554, 'reg_bi': 0, 'reg_bu': 0}",True,0.025330953085551753,200,213,0.14102256965788554,0,0
0.714605636096393,0.71399871684834,0.734802415278192,0.7211355894076417,0.0096670810753254,70,2.0762370427449546,0.09887058798212449,0.0956873893737793,0.008460585406388062,"{'cache_ratings': True, 'lr_all': 0.019803491136806493, 'n_epochs': 200, 'n_factors': 34, 'reg_all': 0.17735548249779048, 'reg_bi': 0, 'reg_bu': 0}",True,0.019803491136806493,200,34,0.17735548249779048,0,0
0.7285534811033983,0.7262304714219645,0.7465337566950042,0.7337725697401224,0.009073221143125669,589,19.616263389587402,0.159577335784703,0.138685941696167,0.004574974228679135,"{'cache_ratings': True, 'lr_all': 0.02648293181067435, 'n_epochs': 200, 'n_factors': 359, 'reg_all': 0.2541345232245304, 'reg_bi': 0, 'reg_bu': 0}",True,0.02648293181067435,200,359,0.2541345232245304,0,0
0.7260256453560205,0.7217320624707351,0.7477698785761386,0.7318425288009648,0.01139792573654677,535,0.812026580174764,0.019246665546650377,0.07673080762227376,0.006696832498835254,"{'cache_ratings': True, 'lr_all': 0.026161224400513383, 'n_epochs': 200, 'n_factors': 7, 'reg_all': 0.12324399944531034, 'reg_bi': 0, 'reg_bu': 0}",True,0.026161224400513383,200,7,0.12324399944531034,0,0
0.7202520193355647,0.7200592943288301,0.737712190469915,0.7260078347114366,0.00827660330984577,309,3.2660674254099527,0.02303394478261615,0.08511789639790852,0.003923963805080506,"{'cache_ratings': True, 'lr_all': 0.04234972918034011, 'n_epochs': 200, 'n_factors': 59, 'reg_all': 0.12878823446664675, 'reg_bi': 0, 'reg_bu': 0}",True,0.04234972918034011,200,59,0.12878823446664675,0,0
