split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi,param_reg_yj
0.8810623316418031,0.8879650110543887,0.9124957042227433,0.881410196739387,0.8907333109145805,0.012861896678107868,317,1.1970548629760742,0.011767484538930305,0.0900467038154602,0.004586494957760209,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.8, 'reg_bi': 1.0, 'reg_pu': 0.30000000000000004, 'reg_qi': 0.30000000000000004, 'reg_yj': 0.9}",1,True,350,0.0025,0.8,1.0,0.30000000000000004,0.30000000000000004,0.9
0.8026490364587099,0.816699738074439,0.833256967053948,0.8114396810505181,0.8160113556594037,0.011150524268747712,173,1.1820356845855713,0.013240608200223504,0.08217430114746094,0.00949176814964973,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.4, 'reg_bi': 0.2, 'reg_pu': 0.1, 'reg_qi': 1.0, 'reg_yj': 0.7000000000000001}",1,True,350,0.0025,0.4,0.2,0.1,1.0,0.7000000000000001
0.8153862256507999,0.8197472143611225,0.8407908913122868,0.8054741828478714,0.8203496285430201,0.012885285981969679,183,1.1650506258010864,0.023947850264859252,0.0832521915435791,0.014385898420923148,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.0, 'reg_bi': 0.5, 'reg_pu': 0.2, 'reg_qi': 0.8, 'reg_yj': 0.9}",1,True,350,0.0025,0.0,0.5,0.2,0.8,0.9
0.8115207030235214,0.8219940708916681,0.8433207518411175,0.81136828574109,0.8220509528743494,0.013013580624174582,185,1.004364788532257,0.03449539652955218,0.07664674520492554,0.006646778062517538,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.2, 'reg_bi': 0.5, 'reg_pu': 0.30000000000000004, 'reg_qi': 0.8, 'reg_yj': 0.2}",1,True,350,0.0025,0.2,0.5,0.30000000000000004,0.8,0.2
0.9423248585416567,0.9553009944537867,0.9817712387071583,0.9449827504103127,0.9560949605282285,0.015596462464886484,414,1.053905725479126,0.05746524155041522,0.07465171813964844,0.008570402881316306,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.5, 'reg_bi': 1.0, 'reg_pu': 0.4, 'reg_qi': 1.0, 'reg_yj': 0.5}",1,True,350,0.0025,0.5,1.0,0.4,1.0,0.5
0.7243425991994215,0.7186557615755078,0.7303663413471032,0.7144306500842384,0.7219488380515677,0.0059989990238497005,26,1.0214377641677856,0.034677888633702095,0.06880474090576172,0.01021433544116423,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.0, 'reg_bi': 1.0, 'reg_pu': 0.7000000000000001, 'reg_qi': 0.1, 'reg_yj': 0.30000000000000004}",1,True,350,0.0025,0.0,1.0,0.7000000000000001,0.1,0.30000000000000004
0.7461735532029566,0.7642474504756872,0.7603806125661797,0.7504088222187416,0.7553026096158914,0.007298717662186573,64,1.0596674680709839,0.09368744585592068,0.07391339540481567,0.0068740382048395055,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.30000000000000004, 'reg_bi': 0.1, 'reg_pu': 0.0, 'reg_qi': 0.2, 'reg_yj': 0.2}",1,True,350,0.0025,0.30000000000000004,0.1,0.0,0.2,0.2
0.7575742753168254,0.7582382168823242,0.7813218719698681,0.7520688520394709,0.7623008040521222,0.011239868272343048,80,1.0520890355110168,0.0035086474279955476,0.09428143501281738,0.01713890669065755,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 0.1, 'reg_bi': 0.6000000000000001, 'reg_pu': 0.2, 'reg_qi': 0.5, 'reg_yj': 0.30000000000000004}",1,True,350,0.0025,0.1,0.6000000000000001,0.2,0.5,0.30000000000000004
0.9098490876455847,0.9209355622986437,0.9445708179168043,0.9147167855984945,0.9225180633648818,0.013324706127307767,378,1.0819905400276184,0.01606093743377707,0.08268749713897705,0.011829397845026481,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 1.0, 'reg_bi': 0.8, 'reg_pu': 0.2, 'reg_qi': 0.8, 'reg_yj': 0.1}",1,True,350,0.0025,1.0,0.8,0.2,0.8,0.1
0.8999588585235799,0.9007630752551528,0.9212930557270681,0.8955932281035403,0.9044020544023353,0.009948435874109639,348,1.1470577716827393,0.08455793454636146,0.08964449167251587,0.012266184379109243,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.0025, 'reg_bu': 1.0, 'reg_bi': 0.7000000000000001, 'reg_pu': 0.0, 'reg_qi': 0.30000000000000004, 'reg_yj': 0.9}",1,True,350,0.0025,1.0,0.7000000000000001,0.0,0.30000000000000004,0.9
